R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
86,90,58,7,4,148.27,43,3.5,4,4,0,0,54.5
81,83,61,7,4,132.78,40.5,3.5,4,4,0,0,52
70,62,36,7,4,194.44,35,3.5,4,4,0,0,46.5
67,57,37,7,4,181.08,33.5,3.5,4,4,0,0,45
84,84,54,7,3,155.55,42,3.5,3,4,0,0,52.5
80,82,56,7,3,142.85,40,3.5,3,4,0,0,50.5
79,94,60,7,3,131.66,39.5,3.5,3,4,0,0,50
79,88,48,7,3,164.58,39.5,3.5,3,4,0,0,50
76,72,46,7,3,165.21,38,3.5,3,4,0,0,48.5
75,73,51,7,3,147.05,37.5,3.5,3,4,0,0,48
66,65,42,7,3,157.14,33,3.5,3,4,0,0,43.5
62,49,27,7,3,229.62,31,3.5,3,4,0,0,41.5
60,55,32,7,3,187.5,30,3.5,3,4,0,0,40.5
59,50,31,7,3,190.32,29.5,3.5,3,4,0,0,40
80,85,63,7,2,126.98,40,3.5,2,4,0,0,49.5
70,98,54,7,2,129.62,35,3.5,2,4,0,0,44.5
68,94,48,7,2,141.66,34,3.5,2,4,0,0,43.5
66,88,58,7,2,113.79,33,3.5,2,4,0,0,42.5
65,66,40,7,2,162.5,32.5,3.5,2,4,0,0,42
63,53,41,7,2,153.65,31.5,3.5,2,4,0,0,41
57,62,44,7,2,129.54,28.5,3.5,2,4,0,0,38
55,43,26,7,2,211.53,27.5,3.5,2,4,0,0,37
54,56,34,7,2,158.82,27,3.5,2,4,0,0,36.5
54,49,33,7,2,163.63,27,3.5,2,4,0,0,36.5
50,39,36,7,2,138.88,25,3.5,2,4,0,0,34.5
50,42,32,7,2,156.25,25,3.5,2,4,0,0,34.5
49,53,34,7,2,144.11,24.5,3.5,2,0,0,0,30
80,100,58,7,1,137.93,40,3.5,1,4,0,0,48.5
73,91,56,7,1,130.35,36.5,3.5,1,4,0,0,45
70,99,50,7,1,140,35,3.5,1,4,0,0,43.5
67,105,54,7,1,124.07,33.5,3.5,1,4,0,0,42
66,71,44,7,1,150,33,3.5,1,4,0,0,41.5
65,76,50,7,1,130,32.5,3.5,1,4,0,0,41
65,97,48,7,1,135.41,32.5,3.5,1,4,0,0,41
64,79,54,7,1,118.51,32,3.5,1,4,0,0,40.5
64,74,50,7,1,128,32,3.5,1,4,0,0,40.5
63,72,41,7,1,153.65,31.5,3.5,1,4,0,0,40
59,75,46,7,1,128.26,29.5,3.5,1,4,0,0,38
58,66,46,7,1,126.08,29,3.5,1,4,0,0,37.5
57,66,43,7,1,132.55,28.5,3.5,1,4,0,0,37
53,65,36,7,1,147.22,26.5,3.5,1,4,0,0,35
48,51,33,7,1,145.45,24,3.5,1,0,0,0,28.5
45,42,30,7,1,150,22.5,3.5,1,0,0,0,27
44,38,29,7,1,151.72,22,3.5,1,0,0,0,26.5
44,29,23,7,1,191.3,22,3.5,1,0,0,0,26.5
42,26,24,7,1,175,21,3.5,1,0,0,0,25.5
42,29,29,7,1,144.82,21,3.5,1,0,0,0,25.5
77,97,58,7,0,132.75,38.5,3.5,0,4,0,0,46
68,77,51,7,0,133.33,34,3.5,0,4,0,0,41.5
63,94,48,7,0,131.25,31.5,3.5,0,4,0,0,39
61,92,47,7,0,129.78,30.5,3.5,0,4,0,0,38
57,76,43,7,0,132.55,28.5,3.5,0,4,0,0,36
56,69,44,7,0,127.27,28,3.5,0,4,0,0,35.5
53,61,48,7,0,110.41,26.5,3.5,0,4,0,0,34
52,53,33,7,0,157.57,26,3.5,0,4,0,0,33.5
51,50,33,7,0,154.54,25.5,3.5,0,4,0,0,33
51,48,34,7,0,150,25.5,3.5,0,4,0,0,33
50,66,38,7,0,131.57,25,3.5,0,4,0,0,32.5
47,62,53,7,0,88.67,23.5,3.5,0,0,0,0,27
47,53,37,7,0,127.02,23.5,3.5,0,0,0,0,27
46,61,31,7,0,148.38,23,3.5,0,0,0,0,26.5
46,54,36,7,0,127.77,23,3.5,0,0,0,0,26.5
45,44,32,7,0,140.62,22.5,3.5,0,0,0,0,26
45,78,44,7,0,102.27,22.5,3.5,0,0,0,0,26
43,45,28,7,0,153.57,21.5,3.5,0,0,0,0,25
43,55,37,7,0,116.21,21.5,3.5,0,0,0,0,25
42,36,32,7,0,131.25,21,3.5,0,0,0,0,24.5
41,62,31,7,0,132.25,20.5,3.5,0,0,0,0,24
41,62,26,7,0,157.69,20.5,3.5,0,0,0,0,24
40,47,28,7,0,142.85,20,3.5,0,0,0,0,23.5
39,35,27,7,0,144.44,19.5,3.5,0,0,0,0,23
39,45,24,7,0,162.5,19.5,3.5,0,0,0,0,23
39,35,25,7,0,156,19.5,3.5,0,0,0,0,23
38,32,23,7,0,165.21,19,3.5,0,0,0,0,22.5
38,44,23,7,0,165.21,19,3.5,0,0,0,0,22.5
35,45,33,7,0,106.06,17.5,3.5,0,0,0,0,21
32,21,19,7,0,168.42,16,3.5,0,0,0,0,19.5
103,92,64,6,9,160.93,51.5,3,9,4,8,0,75.5
97,56,43,6,9,225.58,48.5,3,9,4,0,0,64.5
93,68,41,6,8,226.82,46.5,3,8,4,0,0,61.5
101,82,61,6,6,165.57,50.5,3,6,4,8,0,71.5
79,69,39,6,6,202.56,39.5,3,6,4,0,0,52.5
70,56,34,6,6,205.88,35,3,6,4,0,0,48
89,79,51,6,5,174.5,44.5,3,5,4,0,0,56.5
81,80,52,6,5,155.76,40.5,3,5,4,0,0,52.5
78,64,46,6,5,169.56,39,3,5,4,0,0,51
68,43,28,6,5,242.85,34,3,5,4,0,0,46
83,68,46,6,4,180.43,41.5,3,4,4,0,0,52.5
82,99,50,6,4,164,41,3,4,4,0,0,52
81,93,54,6,4,150,40.5,3,4,4,0,0,51.5
79,91,51,6,4,154.9,39.5,3,4,4,0,0,50.5
76,70,45,6,4,168.88,38,3,4,4,0,0,49
73,75,47,6,4,155.31,36.5,3,4,4,0,0,47.5
71,65,42,6,4,169.04,35.5,3,4,4,0,0,46.5
69,58,39,6,4,176.92,34.5,3,4,4,0,0,45.5
68,53,42,6,4,161.9,34,3,4,4,0,0,45
64,39,33,6,4,193.93,32,3,4,4,0,0,43
64,47,30,6,4,213.33,32,3,4,4,0,0,43
62,47,40,6,4,155,31,3,4,4,0,0,42
58,47,31,6,4,187.09,29,3,4,4,0,0,40
57,40,27,6,4,211.11,28.5,3,4,4,0,0,39.5
56,38,29,6,4,193.1,28,3,4,4,0,0,39
54,25,17,6,4,317.64,27,3,4,4,0,0,38
66,67,42,6,3,157.14,33,3,3,4,0,0,43
64,71,53,6,3,120.75,32,3,3,4,0,0,42
64,65,44,6,3,145.45,32,3,3,4,0,0,42
63,50,37,6,3,170.27,31.5,3,3,4,0,0,41.5
62,50,43,6,3,144.18,31,3,3,4,0,0,41
61,52,33,6,3,184.84,30.5,3,3,4,0,0,40.5
