R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
1.00,6.00,2.00,0.00,0.00,50.00,0.50,0.00,0.00,0.00,0.00,-2.00,-1.50
1.00,9.00,6.00,0.00,0.00,16.66,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
32.00,76.00,42.00,1.00,0.00,76.19,16.00,0.50,0.00,0.00,0.00,0.00,16.50
32.00,38.00,32.00,4.00,1.00,100.00,16.00,2.00,1.00,0.00,0.00,0.00,19.00
0.00,6.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
8.00,17.00,11.00,0.00,0.00,72.72,4.00,0.00,0.00,0.00,0.00,0.00,4.00
16.00,19.00,15.00,2.00,0.00,106.66,8.00,1.00,0.00,0.00,0.00,0.00,9.00
5.00,7.00,3.00,1.00,0.00,166.66,2.50,0.50,0.00,0.00,0.00,0.00,3.00
0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
1.00,1.00,2.00,0.00,0.00,50.00,0.50,0.00,0.00,0.00,0.00,-2.00,-1.50
28.00,42.00,24.00,3.00,0.00,116.66,14.00,1.50,0.00,0.00,0.00,0.00,15.50
98.00,87.00,66.00,16.00,1.00,148.48,49.00,8.00,1.00,4.00,0.00,0.00,62.00
0.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
21.00,27.00,16.00,1.00,1.00,131.25,10.50,0.50,1.00,0.00,0.00,0.00,12.00
14.00,14.00,8.00,2.00,0.00,175.00,7.00,1.00,0.00,0.00,0.00,0.00,8.00
11.00,3.00,3.00,1.00,1.00,366.66,5.50,0.50,1.00,0.00,0.00,0.00,7.00
27.00,19.00,18.00,3.00,1.00,150.00,13.50,1.50,1.00,0.00,0.00,0.00,16.00
13.00,28.00,15.00,2.00,0.00,86.66,6.50,1.00,0.00,0.00,0.00,0.00,7.50
7.00,14.00,6.00,1.00,0.00,116.66,3.50,0.50,0.00,0.00,0.00,0.00,4.00
10.00,9.00,10.00,0.00,1.00,100.00,5.00,0.00,1.00,0.00,0.00,0.00,6.00
13.00,19.00,10.00,1.00,0.00,130.00,6.50,0.50,0.00,0.00,0.00,0.00,7.00
34.00,37.00,25.00,5.00,0.00,136.00,17.00,2.50,0.00,0.00,0.00,0.00,19.50
18.00,20.00,13.00,2.00,0.00,138.46,9.00,1.00,0.00,0.00,0.00,0.00,10.00
10.00,11.00,8.00,0.00,1.00,125.00,5.00,0.00,1.00,0.00,0.00,0.00,6.00
11.00,18.00,9.00,0.00,0.00,122.22,5.50,0.00,0.00,0.00,0.00,0.00,5.50
10.00,6.00,6.00,0.00,1.00,166.66,5.00,0.00,1.00,0.00,0.00,0.00,6.00
1.00,1.00,1.00,0.00,0.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50
30.00,27.00,19.00,4.00,2.00,157.89,15.00,2.00,2.00,0.00,0.00,0.00,19.00
11.00,18.00,12.00,1.00,0.00,91.66,5.50,0.50,0.00,0.00,0.00,0.00,6.00
8.00,13.00,8.00,1.00,0.00,100.00,4.00,0.50,0.00,0.00,0.00,0.00,4.50
64.00,64.00,42.00,6.00,2.00,152.38,32.00,3.00,2.00,4.00,0.00,0.00,41.00
1.00,4.00,3.00,0.00,0.00,33.33,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
16.00,16.00,15.00,1.00,1.00,106.66,8.00,0.50,1.00,0.00,0.00,0.00,9.50
3.00,8.00,4.00,0.00,0.00,75.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
18.00,26.00,16.00,1.00,0.00,112.50,9.00,0.50,0.00,0.00,0.00,0.00,9.50
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
25.00,43.00,24.00,3.00,0.00,104.16,12.50,1.50,0.00,0.00,0.00,0.00,14.00
0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
33.00,28.00,26.00,4.00,1.00,126.92,16.50,2.00,1.00,0.00,0.00,0.00,19.50
18.00,28.00,23.00,1.00,0.00,78.26,9.00,0.50,0.00,0.00,0.00,0.00,9.50
3.00,6.00,4.00,0.00,0.00,75.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
16.00,28.00,15.00,2.00,0.00,106.66,8.00,1.00,0.00,0.00,0.00,0.00,9.00
24.00,29.00,15.00,2.00,1.00,160.00,12.00,1.00,1.00,0.00,0.00,0.00,14.00
12.00,16.00,9.00,1.00,0.00,133.33,6.00,0.50,0.00,0.00,0.00,0.00,6.50
2.00,4.00,3.00,0.00,0.00,66.66,1.00,0.00,0.00,0.00,0.00,-1.00,0.00
2.00,1.00,5.00,0.00,0.00,40.00,1.00,0.00,0.00,0.00,0.00,-3.00,-2.00
39.00,36.00,25.00,1.00,4.00,156.00,19.50,0.50,4.00,0.00,0.00,0.00,24.00
16.00,22.00,12.00,3.00,0.00,133.33,8.00,1.50,0.00,0.00,0.00,0.00,9.50
25.00,33.00,20.00,3.00,0.00,125.00,12.50,1.50,0.00,0.00,0.00,0.00,14.00
48.00,47.00,29.00,3.00,3.00,165.51,24.00,1.50,3.00,0.00,0.00,0.00,28.50
7.00,10.00,9.00,0.00,0.00,77.77,3.50,0.00,0.00,0.00,0.00,0.00,3.50
43.00,28.00,18.00,0.00,5.00,238.88,21.50,0.00,5.00,0.00,0.00,0.00,26.50
2.00,13.00,3.00,0.00,0.00,66.66,1.00,0.00,0.00,0.00,0.00,-1.00,0.00
15.00,17.00,14.00,3.00,0.00,107.14,7.50,1.50,0.00,0.00,0.00,0.00,9.00
21.00,26.00,18.00,3.00,0.00,116.66,10.50,1.50,0.00,0.00,0.00,0.00,12.00
20.00,26.00,17.00,3.00,0.00,117.64,10.00,1.50,0.00,0.00,0.00,0.00,11.50
23.00,22.00,16.00,2.00,1.00,143.75,11.50,1.00,1.00,0.00,0.00,0.00,13.50
10.00,8.00,9.00,0.00,1.00,111.11,5.00,0.00,1.00,0.00,0.00,0.00,6.00
2.00,7.00,3.00,0.00,0.00,66.66,1.00,0.00,0.00,0.00,0.00,-1.00,0.00
4.00,6.00,8.00,0.00,0.00,50.00,2.00,0.00,0.00,0.00,0.00,-2.00,0.00
0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
15.00,13.00,8.00,0.00,2.00,187.50,7.50,0.00,2.00,0.00,0.00,0.00,9.50
5.00,9.00,8.00,0.00,0.00,62.50,2.50,0.00,0.00,0.00,0.00,-1.00,1.50
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
8.00,23.00,8.00,0.00,0.00,100.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00
20.00,19.00,18.00,3.00,0.00,111.11,10.00,1.50,0.00,0.00,0.00,0.00,11.50
46.00,46.00,39.00,4.00,2.00,117.94,23.00,2.00,2.00,0.00,0.00,0.00,27.00
40.00,59.00,33.00,2.00,2.00,121.21,20.00,1.00,2.00,0.00,0.00,0.00,23.00
3.00,7.00,6.00,0.00,0.00,50.00,1.50,0.00,0.00,0.00,0.00,-2.00,-0.50
25.00,17.00,12.00,0.00,3.00,208.33,12.50,0.00,3.00,0.00,0.00,0.00,15.50
12.00,11.00,4.00,1.00,1.00,300.00,6.00,0.50,1.00,0.00,0.00,0.00,7.50
0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
6.00,16.00,11.00,1.00,0.00,54.54,3.00,0.50,0.00,0.00,0.00,-2.00,1.50
1.00,9.00,5.00,0.00,0.00,20.00,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
24.00,37.00,23.00,3.00,0.00,104.34,12.00,1.50,0.00,0.00,0.00,0.00,13.50
24.00,44.00,28.00,2.00,0.00,85.71,12.00,1.00,0.00,0.00,0.00,0.00,13.00
18.00,19.00,17.00,0.00,1.00,105.88,9.00,0.00,1.00,0.00,0.00,0.00,10.00
16.00,11.00,8.00,2.00,1.00,200.00,8.00,1.00,1.00,0.00,0.00,0.00,10.00
5.00,13.00,5.00,0.00,0.00,100.00,2.50,0.00,0.00,0.00,0.00,0.00,2.50
35.00,23.00,18.00,3.00,2.00,194.44,17.50,1.50,2.00,0.00,0.00,0.00,21.00
3.00,10.00,4.00,0.00,0.00,75.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
1.00,4.00,2.00,0.00,0.00,50.00,0.50,0.00,0.00,0.00,0.00,-2.00,-1.50
1.00,6.00,5.00,0.00,0.00,20.00,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
41.00,30.00,24.00,2.00,4.00,170.83,20.50,1.00,4.00,0.00,0.00,0.00,25.50
1.00,5.00,6.00,0.00,0.00,16.66,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
39.00,73.00,36.00,1.00,2.00,108.33,19.50,0.50,2.00,0.00,0.00,0.00,22.00
14.00,30.00,19.00,1.00,0.00,73.68,7.00,0.50,0.00,0.00,0.00,0.00,7.50
30.00,36.00,22.00,1.00,2.00,136.36,15.00,0.50,2.00,0.00,0.00,0.00,17.50
4.00,1.00,2.00,1.00,0.00,200.00,2.00,0.50,0.00,0.00,0.00,0.00,2.50
0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
2.00,4.00,2.00,0.00,0.00,100.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
1.00,1.00,2.00,0.00,0.00,50.00,0.50,0.00,0.00,0.00,0.00,-2.00,-1.50
5.00,7.00,9.00,1.00,0.00,55.55,2.50,0.50,0.00,0.00,0.00,-2.00,1.00
3.00,15.00,9.00,0.00,0.00,33.33,1.50,0.00,0.00,0.00,0.00,-3.00,-1.50
73.00,84.00,50.00,4.00,5.00,146.00,36.50,2.00,5.00,4.00,0.00,0.00,47.50
19.00,30.00,24.00,1.00,0.00,79.16,9.50,0.50,0.00,0.00,0.00,0.00,10.00
24.00,21.00,18.00,0.00,3.00,133.33,12.00,0.00,3.00,0.00,0.00,0.00,15.00
7.00,12.00,6.00,1.00,0.00,116.66,3.50,0.50,0.00,0.00,0.00,0.00,4.00
7.00,10.00,4.00,1.00,0.00,175.00,3.50,0.50,0.00,0.00,0.00,0.00,4.00
22.00,28.00,23.00,3.00,1.00,95.65,11.00,1.50,1.00,0.00,0.00,0.00,13.50
64.00,77.00,39.00,9.00,1.00,164.10,32.00,4.50,1.00,4.00,0.00,0.00,41.50
46.00,29.00,29.00,2.00,3.00,158.62,23.00,1.00,3.00,0.00,0.00,0.00,27.00
1.00,3.00,3.00,0.00,0.00,33.33,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
2.00,17.00,5.00,0.00,0.00,40.00,1.00,0.00,0.00,0.00,0.00,-3.00,-2.00
3.00,5.00,4.00,0.00,0.00,75.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
4.00,8.00,4.00,0.00,0.00,100.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00
5.00,10.00,8.00,0.00,0.00,62.50,2.50,0.00,0.00,0.00,0.00,-1.00,1.50
8.00,8.00,4.00,0.00,1.00,200.00,4.00,0.00,1.00,0.00,0.00,0.00,5.00
4.00,3.00,1.00,1.00,0.00,400.00,2.00,0.50,0.00,0.00,0.00,0.00,2.50
6.00,9.00,9.00,0.00,1.00,66.66,3.00,0.00,1.00,0.00,0.00,-1.00,3.00
2.00,17.00,8.00,0.00,0.00,25.00,1.00,0.00,0.00,0.00,0.00,-3.00,-2.00
6.00,20.00,14.00,1.00,0.00,42.85,3.00,0.50,0.00,0.00,0.00,-3.00,0.50
10.00,19.00,10.00,1.00,0.00,100.00,5.00,0.50,0.00,0.00,0.00,0.00,5.50
18.00,45.00,19.00,1.00,0.00,94.73,9.00,0.50,0.00,0.00,0.00,0.00,9.50
5.00,11.00,6.00,0.00,0.00,83.33,2.50,0.00,0.00,0.00,0.00,0.00,2.50
20.00,13.00,12.00,3.00,1.00,166.66,10.00,1.50,1.00,0.00,0.00,0.00,12.50
25.00,34.00,26.00,0.00,1.00,96.15,12.50,0.00,1.00,0.00,0.00,0.00,13.50
10.00,15.00,9.00,1.00,0.00,111.11,5.00,0.50,0.00,0.00,0.00,0.00,5.50
11.00,6.00,7.00,1.00,0.00,157.14,5.50,0.50,0.00,0.00,0.00,0.00,6.00
15.00,14.00,12.00,3.00,0.00,125.00,7.50,1.50,0.00,0.00,0.00,0.00,9.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
17.00,28.00,16.00,0.00,2.00,106.25,8.50,0.00,2.00,0.00,0.00,0.00,10.50
15.00,31.00,16.00,1.00,1.00,93.75,7.50,0.50,1.00,0.00,0.00,0.00,9.00
13.00,18.00,17.00,1.00,0.00,76.47,6.50,0.50,0.00,0.00,0.00,0.00,7.00
22.00,32.00,31.00,1.00,0.00,70.96,11.00,0.50,0.00,0.00,0.00,0.00,11.50
11.00,23.00,18.00,0.00,0.00,61.11,5.50,0.00,0.00,0.00,0.00,-1.00,4.50
2.00,12.00,3.00,0.00,0.00,66.66,1.00,0.00,0.00,0.00,0.00,-1.00,0.00
8.00,3.00,5.00,1.00,0.00,160.00,4.00,0.50,0.00,0.00,0.00,0.00,4.50
1.00,2.00,2.00,0.00,0.00,50.00,0.50,0.00,0.00,0.00,0.00,-2.00,-1.50
14.00,17.00,12.00,3.00,0.00,116.66,7.00,1.50,0.00,0.00,0.00,0.00,8.50
33.00,26.00,21.00,4.00,1.00,157.14,16.50,2.00,1.00,0.00,0.00,0.00,19.50
43.00,36.00,26.00,3.00,2.00,165.38,21.50,1.50,2.00,0.00,0.00,0.00,25.00
20.00,27.00,21.00,1.00,0.00,95.23,10.00,0.50,0.00,0.00,0.00,0.00,10.50
29.00,39.00,22.00,4.00,1.00,131.81,14.50,2.00,1.00,0.00,0.00,0.00,17.50
10.00,13.00,10.00,0.00,1.00,100.00,5.00,0.00,1.00,0.00,0.00,0.00,6.00
21.00,14.00,13.00,2.00,1.00,161.53,10.50,1.00,1.00,0.00,0.00,0.00,12.50
47.00,64.00,32.00,1.00,3.00,146.87,23.50,0.50,3.00,0.00,0.00,0.00,27.00
64.00,39.00,33.00,6.00,4.00,193.93,32.00,3.00,4.00,4.00,0.00,0.00,43.00
0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
2.00,4.00,3.00,0.00,0.00,66.66,1.00,0.00,0.00,0.00,0.00,-1.00,0.00
18.00,4.00,6.00,1.00,2.00,300.00,9.00,0.50,2.00,0.00,0.00,0.00,11.50
3.00,6.00,5.00,0.00,0.00,60.00,1.50,0.00,0.00,0.00,0.00,-1.00,0.50
40.00,50.00,31.00,4.00,2.00,129.03,20.00,2.00,2.00,0.00,0.00,0.00,24.00
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
76.00,57.00,42.00,5.00,5.00,180.95,38.00,2.50,5.00,4.00,0.00,0.00,49.50
20.00,38.00,15.00,2.00,1.00,133.33,10.00,1.00,1.00,0.00,0.00,0.00,12.00
2.00,2.00,3.00,0.00,0.00,66.66,1.00,0.00,0.00,0.00,0.00,-1.00,0.00
14.00,14.00,6.00,0.00,2.00,233.33,7.00,0.00,2.00,0.00,0.00,0.00,9.00
4.00,6.00,2.00,1.00,0.00,200.00,2.00,0.50,0.00,0.00,0.00,0.00,2.50
2.00,12.00,5.00,0.00,0.00,40.00,1.00,0.00,0.00,0.00,0.00,-3.00,-2.00
0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
5.00,8.00,6.00,0.00,0.00,83.33,2.50,0.00,0.00,0.00,0.00,0.00,2.50
45.00,23.00,26.00,5.00,3.00,173.07,22.50,2.50,3.00,0.00,0.00,0.00,28.00
68.00,80.00,35.00,2.00,6.00,194.28,34.00,1.00,6.00,4.00,0.00,0.00,45.00
57.00,32.00,46.00,5.00,2.00,123.91,28.50,2.50,2.00,4.00,0.00,0.00,37.00
4.00,5.00,2.00,1.00,0.00,200.00,2.00,0.50,0.00,0.00,0.00,0.00,2.50
8.00,6.00,6.00,1.00,0.00,133.33,4.00,0.50,0.00,0.00,0.00,0.00,4.50
0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
1.00,1.00,1.00,0.00,0.00,100.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50
6.00,1.00,1.00,0.00,1.00,600.00,3.00,0.00,1.00,0.00,0.00,0.00,4.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
11.00,22.00,15.00,1.00,0.00,73.33,5.50,0.50,0.00,0.00,0.00,0.00,6.00
71.00,54.00,46.00,5.00,4.00,154.34,35.50,2.50,4.00,4.00,0.00,0.00,46.00
23.00,14.00,14.00,3.00,1.00,164.28,11.50,1.50,1.00,0.00,0.00,0.00,14.00
41.00,41.00,24.00,1.00,2.00,170.83,20.50,0.50,2.00,0.00,0.00,0.00,23.00
25.00,33.00,15.00,2.00,1.00,166.66,12.50,1.00,1.00,0.00,0.00,0.00,14.50
28.00,8.00,7.00,2.00,3.00,400.00,14.00,1.00,3.00,0.00,0.00,0.00,18.00
4.00,9.00,1.00,1.00,0.00,400.00,2.00,0.50,0.00,0.00,0.00,0.00,2.50
7.00,13.00,11.00,1.00,0.00,63.63,3.50,0.50,0.00,0.00,0.00,-1.00,3.00
16.00,28.00,9.00,3.00,0.00,177.77,8.00,1.50,0.00,0.00,0.00,0.00,9.50
2.00,17.00,12.00,0.00,0.00,16.66,1.00,0.00,0.00,0.00,0.00,-3.00,-2.00
17.00,33.00,16.00,0.00,1.00,106.25,8.50,0.00,1.00,0.00,0.00,0.00,9.50
11.00,14.00,9.00,2.00,0.00,122.22,5.50,1.00,0.00,0.00,0.00,0.00,6.50
31.00,40.00,28.00,3.00,1.00,110.71,15.50,1.50,1.00,0.00,0.00,0.00,18.00
13.00,12.00,13.00,1.00,0.00,100.00,6.50,0.50,0.00,0.00,0.00,0.00,7.00
0.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
2.00,7.00,4.00,0.00,0.00,50.00,1.00,0.00,0.00,0.00,0.00,-2.00,-1.00
2.00,9.00,4.00,0.00,0.00,50.00,1.00,0.00,0.00,0.00,0.00,-2.00,-1.00
2.00,6.00,5.00,0.00,0.00,40.00,1.00,0.00,0.00,0.00,0.00,-3.00,-2.00
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
21.00,36.00,17.00,3.00,0.00,123.52,10.50,1.50,0.00,0.00,0.00,0.00,12.00
64.00,79.00,54.00,7.00,1.00,118.51,32.00,3.50,1.00,4.00,0.00,0.00,40.50
10.00,17.00,10.00,1.00,0.00,100.00,5.00,0.50,0.00,0.00,0.00,0.00,5.50
21.00,26.00,24.00,3.00,0.00,87.50,10.50,1.50,0.00,0.00,0.00,0.00,12.00
28.00,36.00,27.00,5.00,0.00,103.70,14.00,2.50,0.00,0.00,0.00,0.00,16.50
19.00,27.00,16.00,3.00,0.00,118.75,9.50,1.50,0.00,0.00,0.00,0.00,11.00
1.00,5.00,6.00,0.00,0.00,16.66,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
24.00,37.00,22.00,1.00,1.00,109.09,12.00,0.50,1.00,0.00,0.00,0.00,13.50
31.00,43.00,33.00,3.00,0.00,93.93,15.50,1.50,0.00,0.00,0.00,0.00,17.00
12.00,19.00,9.00,0.00,1.00,133.33,6.00,0.00,1.00,0.00,0.00,0.00,7.00
6.00,10.00,7.00,1.00,0.00,85.71,3.00,0.50,0.00,0.00,0.00,0.00,3.50
31.00,48.00,38.00,3.00,0.00,81.57,15.50,1.50,0.00,0.00,0.00,0.00,17.00
11.00,18.00,11.00,2.00,0.00,100.00,5.50,1.00,0.00,0.00,0.00,0.00,6.50
29.00,48.00,29.00,3.00,0.00,100.00,14.50,1.50,0.00,0.00,0.00,0.00,16.00
24.00,29.00,18.00,1.00,1.00,133.33,12.00,0.50,1.00,0.00,0.00,0.00,13.50
16.00,21.00,10.00,1.00,1.00,160.00,8.00,0.50,1.00,0.00,0.00,0.00,9.50
7.00,15.00,7.00,1.00,0.00,100.00,3.50,0.50,0.00,0.00,0.00,0.00,4.00
7.00,4.00,3.00,0.00,1.00,233.33,3.50,0.00,1.00,0.00,0.00,0.00,4.50
43.00,40.00,33.00,5.00,2.00,130.30,21.50,2.50,2.00,0.00,0.00,0.00,26.00
8.00,24.00,11.00,0.00,0.00,72.72,4.00,0.00,0.00,0.00,0.00,0.00,4.00
20.00,30.00,19.00,2.00,0.00,105.26,10.00,1.00,0.00,0.00,0.00,0.00,11.00
26.00,52.00,28.00,1.00,0.00,92.85,13.00,0.50,0.00,0.00,0.00,0.00,13.50
44.00,39.00,26.00,4.00,2.00,169.23,22.00,2.00,2.00,0.00,0.00,0.00,26.00
3.00,6.00,3.00,0.00,0.00,100.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
5.00,4.00,2.00,1.00,0.00,250.00,2.50,0.50,0.00,0.00,0.00,0.00,3.00
10.00,12.00,7.00,0.00,1.00,142.85,5.00,0.00,1.00,0.00,0.00,0.00,6.00
73.00,91.00,56.00,7.00,1.00,130.35,36.50,3.50,1.00,4.00,0.00,0.00,45.00
16.00,22.00,16.00,1.00,0.00,100.00,8.00,0.50,0.00,0.00,0.00,0.00,8.50
8.00,18.00,15.00,0.00,0.00,53.33,4.00,0.00,0.00,0.00,0.00,-2.00,2.00
44.00,36.00,22.00,4.00,3.00,200.00,22.00,2.00,3.00,0.00,0.00,0.00,27.00
5.00,11.00,9.00,0.00,0.00,55.55,2.50,0.00,0.00,0.00,0.00,-2.00,0.50
38.00,56.00,34.00,3.00,1.00,111.76,19.00,1.50,1.00,0.00,0.00,0.00,21.50
1.00,7.00,6.00,0.00,0.00,16.66,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
32.00,48.00,31.00,1.00,1.00,103.22,16.00,0.50,1.00,0.00,0.00,0.00,17.50
6.00,23.00,11.00,0.00,0.00,54.54,3.00,0.00,0.00,0.00,0.00,-2.00,1.00
12.00,18.00,11.00,0.00,1.00,109.09,6.00,0.00,1.00,0.00,0.00,0.00,7.00
0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
13.00,14.00,8.00,0.00,1.00,162.50,6.50,0.00,1.00,0.00,0.00,0.00,7.50
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
14.00,6.00,6.00,3.00,0.00,233.33,7.00,1.50,0.00,0.00,0.00,0.00,8.50
6.00,2.00,2.00,0.00,1.00,300.00,3.00,0.00,1.00,0.00,0.00,0.00,4.00
1.00,8.00,5.00,0.00,0.00,20.00,0.50,0.00,0.00,0.00,0.00,-3.00,-2.50
22.00,17.00,13.00,4.00,0.00,169.23,11.00,2.00,0.00,0.00,0.00,0.00,13.00
27.00,46.00,25.00,1.00,1.00,108.00,13.50,0.50,1.00,0.00,0.00,0.00,15.00
20.00,33.00,27.00,1.00,0.00,74.07,10.00,0.50,0.00,0.00,0.00,0.00,10.50
4.00,14.00,8.00,0.00,0.00,50.00,2.00,0.00,0.00,0.00,0.00,-2.00,0.00
0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-3.00
35.00,35.00,23.00,3.00,1.00,152.17,17.50,1.50,1.00,0.00,0.00,0.00,20.00
11.00,22.00,14.00,1.00,0.00,78.57,5.50,0.50,0.00,0.00,0.00,0.00,6.00
3.00,3.00,2.00,0.00,0.00,150.00,1.50,0.00,0.00,0.00,0.00,0.00,1.50
25.00,40.00,32.00,2.00,0.00,78.12,12.50,1.00,0.00,0.00,0.00,0.00,13.50
103.00,86.00,60.00,12.00,5.00,171.66,51.50,6.00,5.00,4.00,8.00,0.00,74.50
60.00,37.00,26.00,5.00,5.00,230.76,30.00,2.50,5.00,4.00,0.00,0.00,41.50
1.00,7.00,2.00,0.00,0.00,50.00,0.50,0.00,0.00,0.00,0.00,-2.00,-1.50
34.00,20.00,21.00,3.00,3.00,161.90,17.00,1.50,3.00,0.00,0.00,0.00,21.50
8.00,22.00,9.00,0.00,1.00,88.88,4.00,0.00,1.00,0.00,0.00,0.00,5.00
