,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total,cluster_group
147,44.0,42.0,30,8,1,146.66,22.0,4.0,1,0,0,0,27.0,5.0
148,67.0,95.0,53,8,0,126.41,33.5,4.0,0,4,0,0,41.5,5.0
149,60.0,88.0,49,8,0,122.44,30.0,4.0,0,4,0,0,38.0,5.0
150,60.0,76.0,46,8,0,130.43,30.0,4.0,0,4,0,0,38.0,5.0
151,58.0,61.0,42,8,0,138.09,29.0,4.0,0,4,0,0,37.0,5.0
152,57.0,81.0,48,8,0,118.75,28.5,4.0,0,4,0,0,36.5,5.0
153,56.0,71.0,49,8,0,114.28,28.0,4.0,0,4,0,0,36.0,5.0
154,55.0,65.0,42,8,0,130.95,27.5,4.0,0,4,0,0,35.5,5.0
155,54.0,57.0,48,8,0,112.5,27.0,4.0,0,4,0,0,35.0,5.0
156,52.0,57.0,43,8,0,120.93,26.0,4.0,0,4,0,0,34.0,5.0
157,51.0,74.0,48,8,0,106.25,25.5,4.0,0,4,0,0,33.5,5.0
158,48.0,49.0,28,8,0,171.42,24.0,4.0,0,0,0,0,28.0,5.0
159,46.0,60.0,39,8,0,117.94,23.0,4.0,0,0,0,0,27.0,5.0
160,45.0,42.0,30,8,0,150.0,22.5,4.0,0,0,0,0,26.5,5.0
161,128.0,95.0,62,7,13,206.45,64.0,3.5,13,4,8,0,92.5,1.0
162,117.0,84.0,57,7,12,205.26,58.5,3.5,12,4,8,0,86.0,1.0
163,100.0,97.0,56,7,9,178.57,50.0,3.5,9,4,8,0,74.5,1.0
164,96.0,83.0,56,7,7,171.42,48.0,3.5,7,4,0,0,62.5,1.0
165,103.0,85.0,63,7,6,163.49,51.5,3.5,6,4,8,0,73.0,1.0
166,100.0,82.0,53,7,6,188.67,50.0,3.5,6,4,8,0,71.5,1.0
167,87.0,66.0,47,7,6,185.1,43.5,3.5,6,4,0,0,57.0,1.0
168,86.0,57.0,37,7,6,232.43,43.0,3.5,6,4,0,0,56.5,1.0
169,82.0,75.0,42,7,6,195.23,41.0,3.5,6,4,0,0,54.5,1.0
170,83.0,78.0,56,7,5,148.21,41.5,3.5,5,4,0,0,54.0,3.0
171,77.0,63.0,37,7,5,208.1,38.5,3.5,5,4,0,0,51.0,3.0
172,70.0,48.0,34,7,5,205.88,35.0,3.5,5,4,0,0,47.5,0.0
173,90.0,84.0,59,7,4,152.54,45.0,3.5,4,4,0,0,56.5,3.0
174,86.0,90.0,58,7,4,148.27,43.0,3.5,4,4,0,0,54.5,3.0
175,81.0,83.0,61,7,4,132.78,40.5,3.5,4,4,0,0,52.0,3.0
176,70.0,62.0,36,7,4,194.44,35.0,3.5,4,4,0,0,46.5,5.0
177,67.0,57.0,37,7,4,181.08,33.5,3.5,4,4,0,0,45.0,0.0
178,84.0,84.0,54,7,3,155.55,42.0,3.5,3,4,0,0,52.5,3.0
179,80.0,82.0,56,7,3,142.85,40.0,3.5,3,4,0,0,50.5,3.0
180,79.0,94.0,60,7,3,131.66,39.5,3.5,3,4,0,0,50.0,3.0
181,79.0,88.0,48,7,3,164.58,39.5,3.5,3,4,0,0,50.0,3.0
182,76.0,72.0,46,7,3,165.21,38.0,3.5,3,4,0,0,48.5,5.0
183,75.0,73.0,51,7,3,147.05,37.5,3.5,3,4,0,0,48.0,5.0
184,66.0,65.0,42,7,3,157.14,33.0,3.5,3,4,0,0,43.5,5.0
185,62.0,49.0,27,7,3,229.62,31.0,3.5,3,4,0,0,41.5,0.0
186,60.0,55.0,32,7,3,187.5,30.0,3.5,3,4,0,0,40.5,0.0
187,59.0,50.0,31,7,3,190.32,29.5,3.5,3,4,0,0,40.0,0.0
188,80.0,85.0,63,7,2,126.98,40.0,3.5,2,4,0,0,49.5,3.0
189,70.0,98.0,54,7,2,129.62,35.0,3.5,2,4,0,0,44.5,5.0
190,68.0,94.0,48,7,2,141.66,34.0,3.5,2,4,0,0,43.5,5.0
191,66.0,88.0,58,7,2,113.79,33.0,3.5,2,4,0,0,42.5,5.0
192,65.0,66.0,40,7,2,162.5,32.5,3.5,2,4,0,0,42.0,5.0
193,63.0,53.0,41,7,2,153.65,31.5,3.5,2,4,0,0,41.0,0.0
194,57.0,62.0,44,7,2,129.54,28.5,3.5,2,4,0,0,38.0,5.0
195,55.0,43.0,26,7,2,211.53,27.5,3.5,2,4,0,0,37.0,0.0
196,54.0,56.0,34,7,2,158.82,27.0,3.5,2,4,0,0,36.5,5.0
197,54.0,49.0,33,7,2,163.63,27.0,3.5,2,4,0,0,36.5,0.0
198,50.0,39.0,36,7,2,138.88,25.0,3.5,2,4,0,0,34.5,0.0
199,50.0,42.0,32,7,2,156.25,25.0,3.5,2,4,0,0,34.5,0.0
200,49.0,53.0,34,7,2,144.11,24.5,3.5,2,0,0,0,30.0,5.0
201,80.0,100.0,58,7,1,137.93,40.0,3.5,1,4,0,0,48.5,5.0
202,73.0,91.0,56,7,1,130.35,36.5,3.5,1,4,0,0,45.0,5.0
203,70.0,99.0,50,7,1,140.0,35.0,3.5,1,4,0,0,43.5,5.0
204,67.0,105.0,54,7,1,124.07,33.5,3.5,1,4,0,0,42.0,5.0
205,66.0,71.0,44,7,1,150.0,33.0,3.5,1,4,0,0,41.5,5.0
206,65.0,76.0,50,7,1,130.0,32.5,3.5,1,4,0,0,41.0,5.0
207,65.0,97.0,48,7,1,135.41,32.5,3.5,1,4,0,0,41.0,5.0
208,64.0,79.0,54,7,1,118.51,32.0,3.5,1,4,0,0,40.5,5.0
