,BATSMEN,R,M,B,4s,6s,SR
665,GurkeeratSingh,6,5,4,1,0,150
666,CHGayle,6,17,13,1,0,46.15
667,VKohli(c),109,94,55,5,8,198.18
668,ABdeVilliers,129,78,52,10,12,248.07
669,SRWatson,0,1,1,0,0,0
671,DRSmith,7,8,6,1,0,116.66
672,BBMcCullum(c),11,23,13,2,0,84.61
673,RAJadeja,21,27,19,2,1,110.52
674,KDKarthik?Çá,2,10,4,0,0,50
675,AJFinch,37,49,38,3,1,97.36
676,DJBravo,1,2,2,0,0,50
677,ADNath,3,15,6,0,0,50
678,PKumar,1,2,4,0,0,25
679,DSKulkarni,2,4,3,0,0,66.66
680,PVTambe,7,22,19,1,0,36.84
681,SKaushik,0,1,1,0,0,0
682,AMRahane,2,11,6,0,0,33.33
683,UTKhawaja,21,20,17,3,0,123.52
684,GJBailey,33,38,27,3,1,122.22
685,SSTiwary,13,22,12,1,0,108.33
686,IKPathan,7,22,8,0,0,87.5
687,MSDhoni(c)?Çá,8,31,22,0,0,36.36
688,NLTCPerera,13,10,11,0,1,118.18
689,RAshwin,0,4,4,0,0,0
691,RVUthappa?Çá,4,1,1,1,0,400
692,GGambhir(c),0,1,1,0,0,0
693,MKPandey,15,22,10,1,0,150
694,YKPathan,37,20,18,4,3,205.55
695,HMAmla,96,89,56,14,2,171.42
696,MVijay(c),6,18,12,0,0,50
697,WPSaha?Çá,27,28,23,3,0,117.39
698,GurkeeratSingh,27,30,20,4,0,135
699,DAMiller,20,13,9,2,1,222.22
700,GJMaxwell,0,2,0,0,0,-
702,DAWarner(c),52,59,41,5,1,126.82
703,SDhawan,25,36,22,4,0,113.63
704,DJHooda,34,41,22,3,1,154.54
705,YuvrajSingh,42,43,24,3,3,175
706,BCJCutting,18,24,11,0,2,163.63
707,RGSharma(c),31,31,21,1,3,147.61
708,MJGuptill,48,75,42,2,3,114.28
709,KHPandya,86,57,37,7,6,232.43
710,KAPollard,3,16,6,0,0,50
711,JCButtler?Çá,18,12,9,2,1,200
712,ATRayudu,13,9,5,1,1,260
714,MAAgarwal,8,6,5,0,1,160
715,QdeKock?Çá,40,45,28,4,2,142.85
716,KKNair,8,15,8,1,0,100
717,SVSamson,6,15,11,0,0,54.54
718,RRPant,23,25,17,2,1,135.29
719,JPDuminy,9,15,9,1,0,100
720,CHMorris,20,21,16,2,1,125
721,AMishra,1,12,5,0,0,20
722,SNadeem,1,17,5,0,0,20
723,ImranTahir,5,6,7,1,0,71.42
724,ZKhan(c),2,4,4,0,0,50
725,RVUthappa?Çá,2,10,4,0,0,50
726,GGambhir(c),51,48,34,7,0,150
727,MKPandey,50,52,35,5,2,142.85
728,YKPathan,6,19,12,0,0,50
729,ADRussell,39,38,19,2,3,205.26
730,SAYadav,5,6,5,1,0,100
731,ShakibAlHasan,18,27,11,1,1,163.63
733,CHGayle,49,28,31,5,4,158.06
734,VKohli(c),75,80,51,5,3,147.05
735,ABdeVilliers,59,51,31,5,3,190.32
736,QdeKock?Çá,2,9,8,0,0,25
737,SSIyer,8,22,10,1,0,80
738,KKNair,41,55,43,5,0,95.34
739,SVSamson,10,23,13,0,0,76.92
740,RRPant,4,11,9,0,0,44.44
741,JPDuminy,14,20,14,1,0,100
742,CHMorris,38,23,20,4,2,190
743,NMCoulter-Nile,2,9,3,0,0,66.66
745,AMRahane,42,56,36,5,1,116.66
746,UTKhawaja,19,19,13,4,0,146.15
747,GJBailey,8,36,18,1,0,44.44
748,CHGayle,73,51,32,4,8,228.12
749,VKohli(c),113,71,50,12,8,226
750,ABdeVilliers,0,3,2,0,0,0
751,KLRahul?Çá,16,21,6,3,0,266.66
752,SRWatson,1,5,2,0,0,50
754,MVijay(c),16,8,8,2,1,200
755,HMAmla,9,26,6,0,1,150
756,WPSaha?Çá,24,9,10,5,0,240
757,DAMiller,3,12,6,0,0,50
758,GurkeeratSingh,18,31,18,2,0,100
759,ARPatel,13,13,9,1,1,144.44
760,FBehardien,0,3,1,0,0,0
761,KJAbbott,0,3,1,0,0,0
762,MMSharma,14,12,12,2,0,116.66
763,KCCariappa,12,10,8,0,1,150
764,SandeepSharma,5,2,5,0,0,100
765,RVUthappa?Çá,25,31,19,3,1,131.57
766,GGambhir(c),8,16,8,1,0,100
767,MKPandey,1,5,3,0,0,33.33
768,PPChawla,11,23,16,1,0,68.75
769,YKPathan,36,52,36,3,1,100
770,ShakibAlHasan,3,7,8,0,0,37.5
771,SAYadav,17,20,14,1,1,121.42
772,JOHolder,13,14,8,1,1,162.5
773,SPNarine,2,8,7,0,0,28.57
774,MMorkel,1,2,1,0,0,100
776,DRSmith,0,1,1,0,0,0
777,BBMcCullum,6,8,3,0,1,200
778,SKRaina(c),53,65,36,7,1,147.22
779,KDKarthik?Çá,12,10,8,2,0,150
780,AJFinch,26,31,23,1,2,113.04
781,RAJadeja,11,15,10,1,0,110
782,DAWarner(c),73,80,56,8,1,130.35
783,SDhawan,10,27,8,2,0,125
784,DJHooda,1,3,1,0,0,100
785,YuvrajSingh,10,16,11,1,0,90.9
786,MCHenriques,18,20,13,2,0,138.46
787,EJGMorgan,14,22,10,0,1,140
788,NVOjha?Çá,16,24,14,0,1,114.28
789,BKumar,13,12,7,2,0,185.71
791,QdeKock?Çá,2,8,9,0,0,22.22
792,RRPant,32,53,26,3,0,123.07
793,KKNair,83,96,59,8,3,140.67
794,JPDuminy,17,23,15,1,0,113.33
795,CRBrathwaite,10,14,7,2,0,142.85
796,SVSamson,3,11,4,0,0,75
797,HMAmla,30,33,27,4,1,111.11
798,MVijay(c),59,66,41,4,3,143.9
799,WPSaha?Çá,3,4,4,0,0,75
800,GurkeeratSingh,51,37,30,3,3,170
801,DAMiller,7,11,5,1,0,140
802,FBehardien,5,7,5,1,0,100
803,ARPatel,1,8,3,0,0,33.33
804,RDhawan,11,5,4,0,1,275
805,KJAbbott,1,2,1,0,0,100
807,AMRahane,19,22,15,4,0,126.66
808,UTKhawaja,30,57,29,1,1,103.44
809,GJBailey,9,11,11,2,0,81.81
810,SSTiwary,17,19,15,1,1,113.33
811,MSDhoni(c)?Çá,64,49,32,4,5,200
812,IKPathan,2,5,3,0,0,66.66
813,NLTCPerera,23,27,14,2,1,164.28
814,RAshwin,1,12,1,0,0,100
815,RGSharma(c),30,16,17,4,2,176.47
816,MJGuptill,7,20,9,1,0,77.77
817,NRana,70,62,36,7,4,194.44
818,KHPandya,4,2,3,1,0,133.33
819,JCButtler?Çá,33,36,31,3,0,106.45
820,KAPollard,9,23,11,0,1,81.81
821,HHPandya,7,16,8,1,0,87.5
822,HarbhajanSingh,3,8,5,0,0,60
823,RVinayKumar,1,2,1,0,0,100
825,AJFinch,0,1,2,0,0,0
826,BBMcCullum,48,49,27,8,1,177.77
827,SKRaina(c),58,61,36,8,2,161.11
828,KDKarthik?Çá,3,6,4,0,0,75
829,DRSmith,37,34,23,4,2,160.86
830,RAJadeja,21,27,15,4,0,140
831,RVUthappa?Çá,25,17,17,4,0,147.05
832,GGambhir(c),16,33,15,1,0,106.66
833,CMunro,10,8,8,2,0,125
834,MKPandey,48,50,30,2,3,160
835,YKPathan,52,68,34,3,2,152.94
836,JOHolder,3,5,3,0,0,100
837,ShakibAlHasan,7,13,10,0,0,70
838,SAYadav,6,4,3,1,0,200
840,SDhawan,51,47,30,4,3,170
841,DAWarner(c),18,12,16,1,1,112.5
842,NVOjha?Çá,15,37,25,1,0,60
843,YuvrajSingh,19,12,12,1,2,158.33
844,KSWilliamson,7,18,9,0,0,77.77
845,DJHooda,2,5,2,0,0,100
846,MCHenriques,11,11,10,1,0,110
847,KVSharma,8,21,11,0,0,72.72
848,BKumar,5,7,4,1,0,125
849,BBSran,2,4,2,0,0,100
850,QdeKock?Çá,60,81,52,5,1,115.38
851,RRPant,1,6,2,0,0,50
852,KKNair,11,19,10,0,1,110
853,SVSamson,17,18,12,1,1,141.66
854,SWBillings,4,8,6,0,0,66.66
855,PNegi,6,14,12,0,0,50
856,CRBrathwaite,1,3,2,0,0,50
857,CHMorris,27,24,18,3,0,150
858,JYadav,5,16,7,0,0,71.42
860,CHGayle,1,5,4,0,0,25
861,VKohli(c),54,85,45,6,0,120
862,ABdeVilliers,6,8,8,1,0,75
863,KLRahul?Çá,38,34,23,4,1,165.21
864,SRWatson,14,18,18,0,1,77.77
865,STRBinny,16,16,11,2,0,145.45
866,AJFinch,4,7,6,1,0,66.66
867,BBMcCullum,1,5,4,0,0,25
868,SKRaina(c),1,11,9,0,0,11.11
869,KDKarthik?Çá,26,50,30,2,0,86.66
870,DRSmith,73,57,41,5,6,178.04
871,RAJadeja,3,12,7,0,0,42.85
872,DJBravo,8,19,6,1,0,133.33
873,ERDwivedi,19,12,9,1,2,211.11
874,PKumar,1,8,2,0,0,50
875,DSKulkarni,10,8,4,2,0,250
876,SBJakati,1,2,2,0,0,50
878,CHGayle,9,15,12,2,0,75
879,VKohli(c),0,6,2,0,0,0
880,ABdeVilliers,79,80,47,5,5,168.08
881,KLRahul?Çá,0,1,1,0,0,0
882,SRWatson,1,5,6,0,0,16.66
883,SachinBaby,0,2,3,0,0,0
884,STRBinny,21,18,15,2,1,140
885,IqbalAbdulla,33,41,25,3,1,132
886,DAWarner(c),28,44,28,3,0,100
887,SDhawan,10,7,10,2,0,100
888,MCHenriques,31,34,21,1,2,147.61
889,YuvrajSingh,44,42,30,8,1,146.66
890,DJHooda,21,24,13,0,2,161.53
891,BCJCutting,0,4,1,0,0,0
892,NVOjha?Çá,7,13,9,0,0,77.77
893,BKumar,1,8,2,0,0,50
894,BipulSharma,14,6,6,0,2,233.33
895,BBSran,0,1,0,0,0,-
897,RVUthappa?Çá,11,8,7,1,0,157.14
898,GGambhir(c),28,41,28,2,1,100
899,CMunro,16,20,17,1,0,94.11
900,MKPandey,36,55,28,2,1,128.57
901,YKPathan,2,8,6,0,0,33.33
902,SAYadav,23,23,15,1,1,153.33
903,RSathish,8,21,9,0,0,88.88
904,JOHolder,6,12,7,1,0,85.71
905,SPNarine,1,2,3,0,0,33.33
906,MMorkel,0,1,0,0,0,-
907,ERDwivedi,5,4,5,1,0,100
908,BBMcCullum,32,57,29,5,0,110.34
909,SKRaina(c),1,11,5,0,0,20
910,KDKarthik?Çá,26,27,19,4,1,136.84
911,AJFinch,50,42,32,7,2,156.25
912,DRSmith,1,3,3,0,0,33.33
913,RAJadeja,19,40,15,1,0,126.66
914,DJBravo,20,10,10,4,0,200
915,DSKulkarni,3,3,2,0,0,150
917,DAWarner(c),93,96,58,11,3,160.34
918,SDhawan,0,6,4,0,0,0
919,MCHenriques,11,13,6,2,0,183.33
920,YuvrajSingh,8,14,13,1,0,61.53
921,DJHooda,4,14,9,0,0,44.44
922,BCJCutting,8,7,7,1,0,114.28
923,NVOjha?Çá,10,14,8,0,1,125
924,BipulSharma,27,22,11,0,3,245.45
925,DAWarner(c),69,58,38,8,3,181.57
926,SDhawan,28,27,25,3,1,112
927,MCHenriques,4,12,5,0,0,80
928,YuvrajSingh,38,32,23,4,2,165.21
929,DJHooda,3,9,6,0,0,50
930,BCJCutting,39,26,15,3,4,260
931,NVOjha?Çá,7,6,4,1,0,175
932,BipulSharma,5,6,3,1,0,166.66
933,BKumar,1,7,1,0,0,100
935,CHGayle,76,53,38,4,8,200
936,VKohli(c),54,63,35,5,2,154.28
937,ABdeVilliers,5,15,6,0,0,83.33
938,KLRahul?Çá,11,16,9,1,0,122.22
939,SRWatson,11,16,9,0,1,122.22
940,SachinBaby,18,28,10,1,1,180
941,STRBinny,9,10,7,0,1,128.57
942,CJJordan,3,7,4,0,0,75
943,IqbalAbdulla,4,3,2,1,0,200
