,BATSMEN,R,M,B,4s,6s,SR
380,MSDhoni(c)?Çá,41,38,27,2,2,151.85
381,RAJadeja,18,21,11,2,0,163.63
383,MVijay,34,44,32,4,1,106.25
384,VSehwag,1,3,2,0,0,50
385,SEMarsh,10,20,10,1,0,100
386,GJBailey(c),1,5,3,0,0,33.33
387,DAMiller,3,9,9,0,0,33.33
388,WPSaha?Çá,15,35,23,0,0,65.21
389,ARPatel,9,6,10,0,1,90
390,MGJohnson,1,3,2,0,0,50
391,AnureetSingh,10,30,20,0,0,50
392,KaranveerSingh,2,10,5,0,0,40
393,SandeepSharma,1,4,4,0,0,25
394,MAAgarwal,27,66,34,1,1,79.41
395,SSIyer,0,3,1,0,0,0
396,JPDuminy(c),13,25,14,2,0,92.85
397,YuvrajSingh,2,5,5,0,0,40
398,ADMathews,0,1,1,0,0,0
399,KMJadhav?Çá,33,55,29,4,0,113.79
400,NMCoulter-Nile,4,4,8,1,0,50
401,AMishra,2,7,4,0,0,50
402,SNadeem,2,7,7,0,0,28.57
403,ImranTahir,3,9,4,0,0,75
404,DJMuthuswami,1,3,3,0,0,33.33
406,CHGayle,62,47,40,6,4,155
407,VKohli(c),35,47,23,6,0,152.17
408,DAWarner(c),58,42,41,10,1,141.46
409,SDhawan,1,8,2,0,0,50
410,GHVihari,9,18,8,2,0,112.5
411,MCHenriques,30,58,32,1,0,93.75
412,NVOjha?Çá,28,27,26,3,0,107.69
413,RSBopara,0,3,2,0,0,0
414,AAshishReddy,22,15,8,1,2,275
415,KVSharma,1,3,1,0,0,100
417,MVijay,12,38,16,0,0,75
418,MVohra,5,8,9,1,0,55.55
419,SEMarsh,1,5,4,0,0,25
420,GJBailey(c),22,18,16,3,0,137.5
421,DAMiller,15,20,14,1,0,107.14
422,WPSaha?Çá,42,47,33,2,1,127.27
423,ARPatel,17,23,13,0,1,130.76
424,RDhawan,4,11,6,0,0,66.66
425,MGJohnson,4,9,6,0,0,66.66
426,AnureetSingh,0,3,2,0,0,0
427,SandeepSharma,1,1,1,0,0,100
428,DRSmith,25,41,19,3,1,131.57
429,BBMcCullum,19,20,14,3,1,135.71
430,SKRaina,17,25,21,2,1,80.95
431,FduPlessis,29,58,29,1,0,100
432,MSDhoni(c)?Çá,3,10,6,0,0,50
433,DJBravo,5,5,7,1,0,71.42
434,RAJadeja,15,29,20,0,0,75
435,RAshwin,9,6,4,2,0,225
437,RVUthappa?Çá,39,26,17,6,1,229.41
438,GGambhir(c),0,1,1,0,0,0
439,MKPandey,15,32,20,2,0,75
440,SAYadav,16,28,26,1,0,61.53
441,YKPathan,13,36,18,0,0,72.22
442,RNtenDoeschate,38,46,28,3,2,135.71
443,ADRussell,4,9,4,0,0,100
444,PJCummins,0,2,2,0,0,0
445,PPChawla,0,4,2,0,0,0
446,UTYadav,0,5,1,0,0,0
447,GBHogg,2,6,1,0,0,200
448,CHGayle,10,3,4,1,1,250.0
449,VKohli(c),1,11,4,0,0,25.0
450,ABdeVilliers,57,64,45,9,1,126.66
