,BATSMEN,R,M,B,4s,6s,SR
663,MVohra,42,35,19,4,3,221.05
664,GJMaxwell,14,13,11,0,1,127.27
665,DAMiller,2,8,6,0,0,33.33
666,WPSaha?Çá,13,29,13,1,0,100
667,ARPatel,42,52,35,5,1,120
668,GJBailey(c),6,17,7,0,0,85.71
669,RDhawan,8,7,5,1,0,160
670,CHGayle,14,24,20,1,0,70
671,PAPatel?Çá,4,3,4,1,0,100
672,VKohli(c),67,72,41,4,4,163.41
673,YuvrajSingh,21,27,25,2,1,84
674,ABdeVilliers,29,28,17,2,1,170.58
675,SRana,12,12,7,2,0,171.42
676,MAStarc,6,7,6,1,0,100
678,SDhawan,50,54,39,7,1,128.2
679,DAWarner,59,75,46,3,4,128.26
680,NVOjha?Çá,24,33,20,0,2,120
681,AJFinch,11,17,9,1,0,122.22
682,DJGSammy(c),10,4,4,0,1,250
683,DRSmith,5,5,6,1,0,83.33
684,BBMcCullum,28,45,24,1,2,116.66
685,SKRaina,65,73,52,3,5,125
686,FduPlessis,23,28,20,2,0,115
687,MSDhoni(c)?Çá,21,18,15,1,1,140
688,RAJadeja,9,13,4,0,1,225
690,RVUthappa?Çá,67,53,39,10,1,171.79
691,GGambhir(c),21,30,20,3,0,105
692,MKPandey,18,48,28,0,0,64.28
693,ShakibAlHasan,46,25,21,6,2,219.04
694,VSehwag,17,10,11,1,2,154.54
695,MVohra,36,47,34,4,1,105.88
696,SEMarsh,30,31,17,2,2,176.47
697,GJMaxwell,2,7,3,0,0,66.66
698,GJBailey(c),39,41,30,2,2,130
699,WPSaha?Çá,3,11,8,0,0,37.5
700,ARPatel,6,9,6,1,0,100
701,RDhawan,14,20,9,2,0,155.55
702,BEHendricks,0,1,1,0,0,0
703,ShivamSharma,1,1,1,0,0,100
705,LMPSimmons,100,86,61,14,2,163.93
706,MEKHussey,6,34,13,0,0,46.15
707,ATRayudu,17,18,14,0,0,121.42
708,RGSharma(c),18,25,20,2,0,90
709,KAPollard,8,6,6,0,1,133.33
710,RVUthappa?Çá,83,100,51,10,1,162.74
711,GGambhir(c),4,4,4,1,0,100
712,MKPandey,13,15,12,3,0,108.33
713,YKPathan,22,17,13,1,2,169.23
714,ShakibAlHasan,60,53,38,5,3,157.89
715,RNtenDoeschate,6,7,3,0,1,200
717,CHGayle,6,9,9,1,0,66.66
718,YVTakawale?Çá,45,55,36,5,1,125
719,VKohli(c),38,41,31,3,1,122.58
720,YuvrajSingh,22,21,12,1,2,183.33
721,ABdeVilliers,13,20,13,1,0,100
722,SRana,19,17,12,2,0,158.33
723,MAStarc,12,14,8,1,0,150
724,DRSmith,47,27,28,4,4,167.85
725,FduPlessis,19,14,11,4,0,172.72
726,SKRaina,4,21,7,0,0,57.14
727,DJHussey,50,62,33,5,2,151.51
728,MSDhoni(c)?Çá,57,53,41,2,4,139.02
730,DAWarner,90,48,45,12,3,200
731,SDhawan,64,86,49,4,2,130.61
732,NVOjha?Çá,19,24,18,0,1,105.55
733,AJFinch,7,3,3,0,1,233.33
734,DJGSammy(c),0,4,3,0,0,0
735,YVenugopalRao,4,3,1,1,0,400
736,LMPSimmons,35,39,25,5,0,140
737,MEKHussey,56,55,33,7,2,169.69
738,RGSharma(c),30,25,21,4,0,142.85
739,KAPollard,11,12,8,0,1,137.5
740,ATRayudu,2,7,3,0,0,66.66
741,APTare?Çá,14,10,8,3,0,175
742,HarbhajanSingh,2,9,3,0,0,66.66
743,SGopal,11,17,10,1,0,110
744,MdeLange,1,4,2,0,0,50
745,PPOjha,2,3,2,0,0,100
746,JJBumrah,0,2,2,0,0,0
748,MVijay,8,19,12,0,0,66.66
749,KPPietersen(c),44,32,31,6,1,141.93
750,KDKarthik?Çá,7,18,13,1,0,53.84
751,MKTiwary,41,45,31,5,1,132.25
752,JPDuminy,45,46,29,0,4,155.17
753,KMJadhav,7,6,5,1,0,140
754,VSehwag,18,11,8,3,1,225
755,MVohra,25,32,20,3,1,125
756,SEMarsh,40,47,35,5,1,114.28
757,WPSaha?Çá,27,32,20,4,0,135
758,DAMiller,29,34,20,0,2,145
759,GJBailey(c),26,28,18,1,1,144.44
761,AMRahane,23,40,26,2,0,88.46
762,KKNair,11,12,6,2,0,183.33
763,SVSamson?Çá,30,50,29,2,1,103.44
764,SRWatson(c),0,1,1,0,0,0
765,STRBinny,7,11,10,0,0,70
766,RTewatia,16,21,13,0,1,123.07
767,BJHodge,31,22,18,2,2,172.22
768,JPFaulkner,35,26,13,1,4,269.23
769,KKCooper,2,1,2,0,0,100
770,VSMalik,1,14,2,0,0,50
771,RRRossouw,1,3,4,0,0,25
772,YVTakawale?Çá,19,18,17,4,0,111.76
773,VHZol,13,20,12,0,1,108.33
774,VKohli(c),73,62,49,2,5,148.97
775,YuvrajSingh,25,29,24,2,0,104.16
776,ABdeVilliers,10,16,6,2,0,166.66
777,SRana,5,13,6,0,0,83.33
778,MAStarc,2,3,2,0,0,100
780,DRSmith,34,19,17,4,1,200
781,FduPlessis,54,75,43,3,3,125.58
782,SKRaina,18,22,18,2,0,100
783,MSDhoni(c)?Çá,49,32,28,4,3,175
784,DAWarner,4,2,2,1,0,200
785,SDhawan,29,59,31,5,0,93.54
786,NVOjha?Çá,26,35,23,5,1,113.04
787,YVenugopalRao,27,32,26,4,0,103.84
788,DJGSammy(c),29,35,19,1,3,152.63
789,SAnirudha,3,6,5,0,0,60
790,JOHolder,16,14,12,2,1,133.33
791,KVSharma,5,3,2,1,0,250
792,ParvezRasool,0,1,0,0,0,-
794,RVUthappa?Çá,41,48,30,4,2,136.66
795,GGambhir(c),28,22,18,4,1,155.55
796,MKPandey,2,14,7,0,0,28.57
797,YKPathan,72,35,22,5,7,327.27
798,RNtenDoeschate,0,2,1,0,0,0
799,ShakibAlHasan,1,11,5,0,0,20
800,SAYadav,12,13,5,1,1,240
801,RVinayKumar,0,3,0,0,0,-
802,KPPietersen(c),58,70,41,9,0,141.46
803,MAAgarwal,2,12,5,0,0,40
804,KDKarthik?Çá,13,14,7,3,0,185.71
805,KMJadhav,0,3,4,0,0,0
806,MKTiwary,8,18,11,0,0,72.72
807,JPDuminy,8,14,8,1,0,100
808,JDSNeesham,12,20,20,1,0,60
809,SNadeem,3,22,7,0,0,42.85
810,MohammedShami,0,1,1,0,0,0
811,ImranTahir,4,2,4,1,0,100
812,JDUnadkat,0,1,1,0,0,0
814,VSehwag,9,8,7,2,0,128.57
815,MVohra,47,59,38,4,2,123.68
816,GJMaxwell,0,5,3,0,0,0
817,DAMiller,47,47,34,4,2,138.23
818,GJBailey(c),1,2,1,0,0,100
819,SRWatson(c),8,22,18,1,0,44.44
820,SVSamson?Çá,74,68,47,7,3,157.44
821,KKNair,50,42,27,7,2,185.18
822,BJHodge,29,24,16,2,1,181.25
823,JPFaulkner,23,20,12,0,3,191.66
824,KKCooper,0,1,0,0,0,-
826,LMPSimmons,12,8,8,3,0,150
827,MEKHussey,22,23,11,1,2,200
828,CJAnderson,95,79,44,9,6,215.9
829,KAPollard,7,3,3,0,1,233.33
830,RGSharma(c),16,23,11,1,1,145.45
831,ATRayudu,30,32,10,5,1,300
832,APTare?Çá,6,3,1,0,1,600
833,RVUthappa?Çá,42,43,30,4,2,140
834,GGambhir(c),1,7,3,0,0,33.33
835,MKPandey,21,37,20,3,0,105
836,ShakibAlHasan,18,30,16,2,0,112.5
837,YKPathan,20,30,18,2,1,111.11
838,RNtenDoeschate,17,19,10,0,2,170
839,SAYadav,20,13,14,3,1,142.85
840,PPChawla,17,13,9,3,0,188.88
841,SPNarine,0,6,0,0,0,-
842,MMorkel,0,2,0,0,0,-
844,VSehwag,2,6,3,0,0,66.66
845,MVohra,26,26,19,0,3,136.84
846,WPSaha?Çá,35,49,31,2,2,112.9
847,GJMaxwell,6,8,9,1,0,66.66
848,DAMiller,8,22,12,0,0,66.66
849,ARPatel,2,10,2,0,0,100
850,GJBailey(c),26,30,17,1,2,152.94
851,RDhawan,14,14,15,0,1,93.33
852,MGJohnson,10,10,11,0,1,90.9
853,KaranveerSingh,1,3,1,0,0,100
854,LMPSimmons,67,71,44,5,4,152.27
855,MEKHussey,39,41,33,4,1,118.18
856,CJAnderson,20,10,10,1,2,200
857,RGSharma(c),20,25,16,3,0,125
858,KAPollard,14,12,8,1,1,175
859,ATRayudu,2,10,3,0,0,66.66
860,APTare?Çá,0,1,1,0,0,0
861,HarbhajanSingh,7,8,2,0,1,350
862,PKumar,1,3,2,0,0,50
863,PPOjha,1,2,1,0,0,100
865,DRSmith,24,30,20,4,0,120
866,FduPlessis,35,34,20,5,1,175
867,SKRaina,54,62,33,4,2,163.63
868,BBMcCullum,14,14,11,0,2,127.27
869,DJHussey,40,43,29,2,3,137.93
870,VSehwag,122,93,58,12,8,210.34
871,MVohra,34,50,31,1,2,109.67
872,GJMaxwell,13,14,6,1,1,216.66
873,DAMiller,38,36,19,5,1,200
874,GJBailey(c),1,4,2,0,0,50
875,WPSaha?Çá,6,6,4,0,1,150
876,MGJohnson,1,2,1,0,0,100
878,DRSmith,7,26,11,0,0,63.63
879,FduPlessis,0,1,1,0,0,0
880,SKRaina,87,37,25,12,6,348
881,BBMcCullum,11,30,16,0,0,68.75
882,RAJadeja,27,19,21,2,1,128.57
883,DJHussey,1,6,3,0,0,33.33
884,MSDhoni(c)?Çá,42,42,31,3,3,135.48
885,RAshwin,10,19,11,0,0,90.9
886,MMSharma,1,17,3,0,0,33.33
887,VSehwag,7,14,10,1,0,70
888,MVohra,67,75,52,6,2,128.84
889,GJBailey(c),1,17,2,0,0,50
890,WPSaha?Çá,115,66,55,10,8,209.09
891,GJMaxwell,0,4,1,0,0,0
892,DAMiller,1,8,1,0,0,100
894,RVUthappa?Çá,5,3,3,1,0,166.66
895,GGambhir(c),23,34,17,3,0,135.29
896,MKPandey,94,81,50,7,6,188
897,YKPathan,36,30,22,0,4,163.63
898,ShakibAlHasan,12,10,7,2,0,171.42
899,RNtenDoeschate,4,6,3,1,0,133.33
900,SAYadav,5,9,6,0,0,83.33
901,PPChawla,13,16,5,1,1,260
902,SPNarine,2,8,4,0,0,50
