,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
4908,APTare,0,6,5,0,0,0,0,0,0,0,0,-3,-3
4909,SWBillings,24,42,17,4,0,141.17,12,2,0,0,0,0,14
4910,SVSamson,102,82,63,8,5,161.9,51,4,5,4,8,0,72
4911,RRPant,31,30,22,1,2,140.9,15.5,0.5,2,0,0,0,18
4912,CJAnderson,2,23,4,0,0,50,1,0,0,0,0,-2,-1
4913,CHMorris,38,7,9,4,3,422.22,19,2,3,0,0,0,24
4914,AMRahane,10,13,9,0,0,111.11,5,0,0,0,0,0,5
4915,MAAgarwal,20,22,18,2,0,111.11,10,1,0,0,0,0,11
4916,FduPlessis,8,18,7,1,0,114.28,4,0.5,0,0,0,0,4.5
4917,RATripathi,10,5,5,2,0,200,5,1,0,0,0,0,6
4918,BAStokes,2,9,5,0,0,40,1,0,0,0,0,-3,-2
4919,MSDhoni,11,23,14,0,1,78.57,5.5,0,1,0,0,0,6.5
4920,RBhatia,16,23,17,0,1,94.11,8,0,1,0,0,0,9
4921,DLChahar,14,10,6,0,2,233.33,7,0,2,0,0,0,9
4922,AZampa,5,11,7,1,0,71.42,2.5,0.5,0,0,0,0,3
4923,ABDinda,7,12,7,1,0,100,3.5,0.5,0,0,0,0,4
4924,ImranTahir,0,5,2,0,0,0,0,0,0,0,0,-3,-3
4925,SDhawan,48,76,43,5,1,111.62,24,2.5,1,0,0,0,27.5
4926,DAWarner,49,53,34,7,2,144.11,24.5,3.5,2,0,0,0,30
4927,DJHooda,9,14,9,1,0,100,4.5,0.5,0,0,0,0,5
4928,YuvrajSingh,5,16,7,1,0,71.42,2.5,0.5,0,0,0,0,3
4929,BCJCutting,20,21,10,4,0,200,10,2,0,0,0,0,12
4930,NVOjha,9,21,9,0,0,100,4.5,0,0,0,0,0,4.5
4931,VShankar,1,3,2,0,0,50,0.5,0,0,0,0,-2,-1.5
4932,RashidKhan,2,6,4,0,0,50,1,0,0,0,0,-2,-1
4933,BKumar,4,3,3,0,0,133.33,2,0,0,0,0,0,2
4935,PAPatel,39,45,24,7,0,162.5,19.5,3.5,0,0,0,0,23
4936,JCButtler,14,14,11,3,0,127.27,7,1.5,0,0,0,0,8.5
4937,RGSharma,4,8,4,0,0,100,2,0,0,0,0,0,2
4938,NRana,45,68,36,3,2,125,22.5,1.5,2,0,0,0,26
4939,KAPollard,11,21,11,0,1,100,5.5,0,1,0,0,0,6.5
4940,KHPandya,37,19,20,3,3,185,18.5,1.5,3,0,0,0,23
4941,HHPandya,2,8,3,0,0,66.66,1,0,0,0,0,-1,0
4942,HarbhajanSingh,3,3,3,0,0,100,1.5,0,0,0,0,0,1.5
4943,HMAmla,25,53,27,4,0,92.59,12.5,2,0,0,0,0,14.5
4944,MVohra,28,24,19,4,1,147.36,14,2,1,0,0,0,17
4945,MPStoinis,9,11,12,1,0,75,4.5,0.5,0,0,0,0,5
4946,GJMaxwell,25,20,14,3,1,178.57,12.5,1.5,1,0,0,0,15
4947,DAMiller,28,29,19,2,2,147.36,14,1,2,0,0,0,17
4948,WPSaha,25,27,17,2,2,147.05,12.5,1,2,0,0,0,15.5
4949,ARPatel,0,3,1,0,0,0,0,0,0,0,0,-3,-3
4950,MMSharma,10,9,8,1,0,125,5,0.5,0,0,0,0,5.5
4951,VRAaron,4,10,5,0,0,80,2,0,0,0,0,0,2
4953,SPNarine,37,29,18,4,3,205.55,18.5,2,3,0,0,0,23.5
4954,GGambhir,72,83,49,11,0,146.93,36,5.5,0,4,0,0,45.5
4955,RVUthappa,26,22,16,3,1,162.5,13,1.5,1,0,0,0,15.5
4956,MKPandey,25,30,16,2,1,156.25,12.5,1,1,0,0,0,14.5
4957,CHGayle,22,42,27,2,1,81.48,11,1,1,0,0,0,13
4958,VKohli,62,67,47,5,2,131.91,31,2.5,2,4,0,0,39.5
4959,ABdeVilliers,19,31,21,0,1,90.47,9.5,0,1,0,0,0,10.5
4960,KMJadhav,9,14,8,0,0,112.5,4.5,0,0,0,0,0,4.5
4961,PNegi,13,18,13,0,0,100,6.5,0,0,0,0,0,6.5
4962,MandeepSingh,0,1,1,0,0,0,0,0,0,0,0,-3,-3
4963,STRBinny,6,8,4,0,0,150,3,0,0,0,0,0,3
4964,PAPatel,3,10,8,0,0,37.5,1.5,0,0,0,0,-3,-1.5
4965,JCButtler,2,7,5,0,0,40,1,0,0,0,0,-3,-2
4966,RGSharma,0,5,2,0,0,0,0,0,0,0,0,-3,-3
4967,MJMcClenaghan,0,1,1,0,0,0,0,0,0,0,0,-3,-3
4968,NRana,11,26,16,1,0,68.75,5.5,0.5,0,0,0,-1,5
4969,KAPollard,70,77,47,3,5,148.93,35,1.5,5,4,0,0,45.5
