,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
512,13,Shane  Watson,16,16,2,543,101,38.78,380,142.89,1,2,59,22,1.0
513,14,Rohit  Sharma,19,19,5,538,79,38.42,409,131.54,0,4,35,28,1.0
514,15,Umesh  Yadav,16,8,7,38,12,38.0,38,100.0,0,0,3,1,1.0
515,16,Shaun  Marsh,8,8,0,300,77,37.5,249,120.48,0,3,39,4,1.0
516,17,AB  de Villiers,14,14,4,360,64,36.0,219,164.38,0,2,34,15,1.0
517,18,Ajinkya  Rahane,18,18,4,488,68,34.85,458,106.55,0,4,42,11,1.0
518,19,Aaron  Finch,14,14,0,456,67,32.57,336,135.71,0,4,54,16,1.0
519,20,Stuart  Binny,17,16,7,293,41,32.55,199,147.23,0,0,25,12,1.0
520,21,Ben  Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5,1.0
521,22,Dwayne  Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19,1.0
522,23,David  Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14,1.0
523,24,Yusuf  Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14,1.0
524,25,Rahul  Dravid,18,17,1,471,65,29.43,425,110.82,0,4,64,5,1.0
525,26,Darren  Sammy,10,9,3,174,60,29.0,132,131.81,0,1,11,10,1.0
526,27,Luke  Pomersbach,3,3,1,58,33,29.0,59,98.3,0,0,5,1,1.0
527,28,Dinesh  Karthik,19,19,1,510,86,28.33,411,124.08,0,2,54,14,1.0
528,29,Ryan  ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,9,2,1.0
529,30,Eoin  Morgan,14,13,2,307,51,27.9,240,127.91,0,1,28,13,1.0
530,31,Saurabh  Tiwary,9,6,2,109,52,27.25,106,102.83,0,1,4,4,1.0
531,32,Robin  Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,42,12,1.0
532,33,Dale  Steyn,17,8,6,53,18,26.5,36,147.22,0,0,5,2,1.0
533,34,Sanju  Samson,11,10,2,206,63,25.75,178,115.73,0,1,19,5,2.0
534,35,Gautam  Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5,2.0
535,36,Ravindra  Jadeja,18,14,6,201,38,25.12,135,148.88,0,0,17,6,2.0
536,37,Biplap  Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2,2.0
537,38,Aditya  Tare,5,5,0,123,59,24.6,84,146.42,0,1,14,5,2.0
