,BATSMEN,R,B,4s,6s,SR
477,QdeKock,29,27,3,1,107.4
478,BBMcCullum,38,28,4,2,135.71
479,VKohli,68,44,5,3,154.54
480,MVohra,0,1,0,0,0
481,MandeepSingh,19,14,0,2,135.71
482,CdeGrandhomme,11,6,0,1,183.33
484,CALynn,62,52,7,1,119.23
485,SPNarine,27,19,3,1,142.1
486,RVUthappa,36,21,3,3,171.42
487,NRana,15,10,2,0,150
488,ADRussell,0,1,0,0,0
489,KDKarthik,23,10,2,1,230
490,ShubmanGill,5,2,1,0,250
491,SRWatson,78,40,4,7,195
492,FduPlessis,33,33,3,1,100
493,SKRaina,1,2,0,0,50
494,ATRayudu,41,24,5,1,170.83
495,MSDhoni,51,22,2,5,231.81
496,RAJadeja,0,0,0,0,
498,PPShaw,9,5,2,0,180
499,CMunro,26,16,3,2,162.5
500,SSIyer,13,14,1,0,92.85
501,RRPant,79,45,7,4,175.55
502,GJMaxwell,6,5,1,0,120
503,VShankar,54,31,1,5,174.19
504,RTewatia,3,4,0,0,75
505,MVohra,45,31,2,4,145.16
506,QdeKock,7,13,1,0,53.84
507,BBMcCullum,37,25,4,2,148
508,VKohli,32,26,2,1,123.07
509,MandeepSingh,14,10,1,1,140
510,CdeGrandhomme,23,10,0,3,230
511,WashingtonSundar,1,3,0,0,33.33
512,TGSouthee,1,2,0,0,50
513,UTYadav,1,2,0,0,50
515,SAYadav,9,9,2,0,100
516,IshanKishan,0,1,0,0,0
517,JPDuminy,23,29,3,0,79.31
518,RGSharma,0,1,0,0,0
519,KAPollard,13,13,1,0,100
520,HHPandya,50,42,5,1,119.04
521,KHPandya,23,19,1,1,121.05
522,BCJCutting,12,6,1,1,200
523,MJMcClenaghan,0,0,0,0,
524,PPShaw,47,25,4,4,188
525,CMunro,0,1,0,0,0
526,SSIyer,50,35,3,3,142.85
527,RRPant,69,29,7,5,237.93
528,GJMaxwell,5,5,0,0,100
529,VShankar,17,6,2,1,283.33
530,LEPlunkett,1,2,0,0,50
532,DJMShort,44,25,2,4,176
533,JCButtler,67,26,4,7,257.69
534,SVSamson,3,5,0,0,60
535,BAStokes,1,2,0,0,50
536,RATripathi,9,8,1,0,112.5
537,KGowtham,18,6,2,1,300
538,JCArcher,0,0,0,0,
539,SRWatson,36,25,4,2,144
540,FduPlessis,27,15,4,1,180
541,SKRaina,31,26,4,0,119.23
542,ATRayudu,21,17,3,0,123.52
543,MSDhoni,43,25,1,4,172
544,RAJadeja,12,12,1,0,100
545,KVSharma,0,0,0,0,
547,CALynn,12,6,0,2,200
548,SPNarine,32,20,4,2,160
549,RVUthappa,6,8,1,0,75
550,ShubmanGill,57,36,6,2,158.33
551,RKSingh,16,18,2,0,88.88
552,KDKarthik,45,18,7,1,250
553,KLRahul,24,20,1,2,120
554,CHGayle,50,40,6,2,125
555,YuvrajSingh,14,14,0,1,100
556,KKNair,23,12,1,2,191.66
557,ARPatel,13,12,0,1,108.33
558,MPStoinis,29,15,2,2,193.33
559,MAAgarwal,11,7,0,1,157.14
560,RAshwin,0,0,0,0,
562,SAYadav,57,42,6,3,135.71
563,ELewis,10,13,0,0,76.92
564,IshanKishan,25,19,0,3,131.57
565,HHPandya,23,13,2,1,176.92
566,RGSharma,24,15,1,2,160
567,KHPandya,31,12,4,2,258.33
568,PAPatel,53,41,5,2,129.26
569,BBMcCullum,5,3,1,0,166.66
570,VKohli,8,11,1,0,72.72
571,ABdeVilliers,1,4,0,0,25
572,MandeepSingh,7,13,0,0,53.84
573,CdeGrandhomme,8,8,1,0,100
574,MAshwin,1,2,0,0,50
575,TGSouthee,36,26,3,1,138.46
576,UTYadav,1,5,0,0,20
577,MohammedSiraj,3,7,0,0,42.85
579,SRWatson,11,14,2,0,78.57
580,ATRayudu,32,25,3,2,128
581,SKRaina,25,21,2,1,119.04
582,DRShorey,8,9,0,1,88.88
583,MSDhoni,31,23,1,3,134.78
584,DJBravo,14,17,0,1,82.35
585,PPShaw,65,36,6,3,180.55
586,GJMaxwell,2,3,0,0,66.66
587,SSIyer,44,36,3,2,122.22
588,RRPant,18,19,1,0,94.73
589,NVOjha,1,4,0,0,25
590,VShankar,23,13,1,1,176.92
591,DTChristian,7,9,0,0,77.77
593,ADHales,45,31,3,3,145.16
594,SDhawan,33,30,2,1,110
595,KSWilliamson,32,30,0,1,106.66
596,MKPandey,21,17,2,0,123.52
597,YKPathan,27,12,2,2,225
598,SAYadav,59,39,7,2,151.28
599,ELewis,43,28,5,2,153.57
600,RGSharma,11,11,1,0,100
601,HHPandya,35,20,4,1,175
602,KHPandya,14,11,1,1,127.27
603,JPDuminy,13,11,0,1,118.18
605,CALynn,17,13,4,0,130.76
606,ShubmanGill,7,5,1,0,140
607,RVUthappa,54,35,6,3,154.28
608,NRana,31,27,3,1,114.81
609,KDKarthik,36,26,5,1,138.46
610,ADRussell,9,10,1,0,90
611,SPNarine,5,4,1,0,125
612,PPChawla,0,0,0,0,
613,JCButtler,51,39,7,0,130.76
614,DJMShort,2,2,0,0,100
615,AMRahane,5,7,0,0,71.42
616,SVSamson,28,23,2,1,121.73
617,BAStokes,12,9,2,0,133.33
618,RATripathi,11,13,1,0,84.61
619,JCArcher,0,1,0,0,0
620,KGowtham,5,3,1,0,166.66
621,SGopal,24,16,3,0,150
622,JDUnadkat,6,7,0,0,85.71
624,KLRahul,84,54,7,3,155.55
625,CHGayle,8,11,2,0,72.72
626,MAAgarwal,2,3,0,0,66.66
627,KKNair,31,23,2,2,134.78
628,ARPatel,4,5,0,0,80
629,MPStoinis,23,16,2,1,143.75
630,ADHales,5,5,1,0,100
631,SDhawan,13,19,1,0,68.42
632,KSWilliamson,56,39,5,2,143.58
633,MKPandey,5,7,0,0,71.42
634,ShakibAlHasan,35,32,5,0,109.37
635,YKPathan,12,7,2,0,171.42
636,WPSaha,8,5,0,1,160
637,RashidKhan,1,3,0,0,33.33
638,BKumar,1,2,0,0,50
639,SKaul,1,1,0,0,100
640,SandeepSharma,0,1,0,0,0
642,MVohra,8,10,0,0,80
643,PAPatel,20,13,4,0,153.84
644,VKohli,39,30,5,1,130
645,ABdeVilliers,5,8,0,0,62.5
646,MMAli,10,7,2,0,142.85
647,MandeepSingh,21,23,1,0,91.3
648,CdeGrandhomme,33,29,1,2,113.79
649,AMRahane,9,10,1,0,90
650,JCButtler,82,58,9,1,141.37
651,KGowtham,8,6,0,1,133.33
652,SVSamson,22,18,1,1,122.22
653,BAStokes,14,11,1,0,127.27
654,STRBinny,11,7,0,1,157.14
655,MKLomror,9,9,1,0,100
656,JCArcher,0,1,0,0,0
657,JDUnadkat,0,1,0,0,0
659,KLRahul,95,70,11,2,135.71
660,CHGayle,1,1,0,0,100
661,RAshwin,0,2,0,0,0
662,KKNair,3,5,0,0,60
663,ADNath,9,13,1,0,69.23
664,MKTiwary,7,8,0,0,87.5
665,ARPatel,9,5,1,0,180
666,MPStoinis,11,16,0,0,68.75
667,AJTye,1,1,0,0,100
668,SAYadav,36,32,5,1,112.5
669,ELewis,18,13,3,0,138.46
670,RGSharma,36,31,2,1,116.12
671,IshanKishan,62,21,5,6,295.23
672,HHPandya,19,13,0,2,146.15
673,BCJCutting,24,9,1,3,266.66
674,KHPandya,8,2,0,1,400
675,JPDuminy,0,0,0,0,
677,SPNarine,4,2,1,0,200
678,CALynn,21,15,3,1,140
679,RVUthappa,14,13,0,2,107.69
680,NRana,21,19,2,1,110.52
681,ADRussell,2,4,0,0,50
682,KDKarthik,5,3,1,0,166.66
683,RKSingh,5,3,1,0,166.66
684,TKCurran,18,17,3,0,105.88
685,PPChawla,11,13,1,0,84.61
686,KuldeepYadav,5,15,0,0,33.33
687,MPrasidhKrishna,1,5,0,0,20
688,PPShaw,9,11,1,0,81.81
689,JJRoy,11,13,2,0,84.61
690,SSIyer,3,8,0,0,37.5
691,RRPant,128,63,15,7,203.17
692,HVPatel,24,17,0,2,141.17
693,GJMaxwell,9,8,1,0,112.5
694,VShankar,0,0,0,0,
696,ADHales,14,10,3,0,140
697,SDhawan,92,50,9,4,184
698,KSWilliamson,83,53,8,2,156.6
699,SRWatson,39,31,2,2,125.8
700,ATRayudu,12,9,2,0,133.33
701,SKRaina,52,35,6,1,148.57
702,MSDhoni,33,23,1,1,143.47
703,SWBillings,27,22,3,0,122.72
704,DJBravo,1,1,0,0,100
706,JCButtler,95,60,11,2,158.33
707,BAStokes,11,7,1,1,157.14
708,AMRahane,4,3,1,0,133.33
709,SVSamson,21,22,2,0,95.45
710,PChopra,8,6,2,0,133.33
711,STRBinny,22,17,1,1,129.41
712,KGowtham,13,4,0,2,325
713,JCArcher,0,0,0,0,
714,CALynn,27,17,2,2,158.82
715,SPNarine,75,36,9,4,208.33
716,RVUthappa,24,17,2,1,141.17
717,ADRussell,31,14,2,3,221.42
718,KDKarthik,50,23,5,3,217.39
719,NRana,11,4,1,1,275
720,ShubmanGill,16,8,3,0,200
721,JPRScantleburySearles,6,1,0,1,600
723,KLRahul,66,29,2,7,227.58
724,CHGayle,21,17,2,1,123.52
725,MAAgarwal,0,1,0,0,0
726,KKNair,3,6,0,0,50
727,AJFinch,34,20,0,3,170
728,ARPatel,19,11,2,1,172.72
729,RAshwin,45,22,4,3,204.54
730,AJTye,14,10,1,1,140
731,BBSran,1,1,0,0,100
732,MMSharma,4,3,1,0,133.33
733,PPShaw,2,4,0,0,50
734,JJRoy,12,9,1,1,133.33
735,SSIyer,32,35,3,0,91.42
736,RRPant,61,34,5,4,179.41
737,VShankar,21,20,2,0,105
738,AbhishekSharma,46,19,3,4,242.1
740,PAPatel,6,8,1,0,75
741,MMAli,1,3,0,0,33.33
742,VKohli,70,40,7,3,175
743,ABdeVilliers,72,37,4,6,194.59
744,MandeepSingh,13,14,0,1,92.85
745,SNKhan,11,8,2,0,137.5
746,CdeGrandhomme,3,4,0,0,75
747,SDhawan,79,49,10,3,161.22
748,ADHales,2,9,0,0,22.22
749,KSWilliamson,51,39,5,2,130.76
750,MKPandey,5,6,0,0,83.33
751,DJHooda,21,11,1,1,190.9
752,ShakibAlHasan,8,6,1,0,133.33
754,SRWatson,57,35,5,3,162.85
755,ATRayudu,100,62,7,7,161.29
756,SKRaina,2,3,0,0,66.66
757,MSDhoni,20,14,1,1,142.85
758,SAYadav,38,31,7,0,122.58
759,ELewis,60,42,4,4,142.85
760,RGSharma,0,1,0,0,0
761,IshanKishan,12,11,1,0,109.09
762,HHPandya,36,21,3,2,171.42
763,KHPandya,3,7,0,0,42.85
764,BCJCutting,10,7,0,1,142.85
765,JPDuminy,0,0,0,0,
767,DJMShort,4,5,1,0,80
768,JCButtler,94,53,9,5,177.35
769,AMRahane,37,36,4,0,102.77
770,SVSamson,26,14,2,2,185.71
771,BAStokes,0,0,0,0,
