,Unnamed: 0,Unnamed: 0.1,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
431,431,4,R Bhatia,4.0,0,30,1,7.5,6,3,0,1,0,10,0,0,0,0,10
432,432,0,JP Duminy,4.0,0,25,0,6.25,12,2,1,0,0,0,0,0,0,0,0
433,433,1,Mohammed Shami,4.0,0,31,1,7.75,10,2,2,1,0,10,0,0,0,0,10
434,434,2,S Kaul,4.0,0,37,1,9.25,11,4,2,1,0,10,0,0,-1,0,9
435,435,3,R Shukla,4.0,0,41,1,10.25,10,0,4,1,2,10,0,0,-2,0,8
436,436,4,Imran Tahir,4.0,0,48,0,12.0,6,3,3,0,0,0,0,0,-3,0,-3
437,437,0,M Muralitharan,4.0,0,25,2,6.25,9,1,1,0,0,20,0,0,0,0,20
438,438,1,MA Starc,4.0,0,26,2,6.5,10,2,1,1,0,20,0,0,0,0,20
439,439,2,AN Ahmed,4.0,0,40,1,10.0,7,4,1,1,2,10,0,0,-2,0,8
440,440,3,YS Chahal,4.0,0,45,1,11.25,7,2,4,0,0,10,0,0,-3,0,7
441,441,4,Yuvraj Singh,4.0,0,28,0,7.0,7,2,1,0,0,0,0,0,0,0,0
442,442,0,Sandeep Sharma,4.0,0,65,1,16.25,7,8,3,1,3,10,0,0,-3,0,7
443,443,1,MG Johnson,4.0,0,26,0,6.5,11,3,0,3,0,0,0,0,0,0,0
444,444,2,Shivam Sharma,4.0,0,31,1,7.75,11,0,3,0,0,10,0,0,0,0,10
445,445,3,AR Patel,4.0,0,40,0,10.0,8,3,3,0,0,0,0,0,-2,0,-2
446,446,4,R Dhawan,4.0,0,42,2,10.5,5,0,3,2,0,20,0,0,-2,0,18
447,447,0,B Kumar,3.4,0,38,1,10.36,8,6,1,0,0,10,0,0,-2,0,8
448,448,1,DW Steyn,4.0,0,51,0,12.75,8,3,4,0,0,0,0,0,-3,0,-3
449,449,2,MC Henriques,2.0,0,36,0,18.0,1,5,2,0,0,0,0,0,-3,0,-3
450,450,3,KV Sharma,4.0,0,46,1,11.5,9,2,5,0,0,10,0,0,-3,0,7
451,451,4,A Mishra,4.0,0,32,1,8.0,6,3,0,0,1,10,0,0,0,0,10
452,452,5,IK Pathan,1.0,0,5,0,5.0,2,0,0,0,0,0,0,0,1,0,1
453,453,0,M Morkel,4.0,0,35,2,8.75,15,1,3,4,1,20,0,0,0,0,20
454,454,1,UT Yadav,3.0,0,24,0,8.0,5,3,0,0,0,0,0,0,0,0,0
455,455,2,Shakib Al Hasan,4.0,0,21,1,5.25,13,3,0,0,0,10,0,0,1,0,11
456,456,3,SP Narine,4.0,0,18,1,4.5,10,0,0,0,0,10,0,0,2,0,12
457,457,4,PP Chawla,4.0,0,32,1,8.0,8,3,1,0,0,10,0,0,0,0,10
458,458,5,YK Pathan,1.0,0,10,0,10.0,1,1,0,0,0,0,0,0,-2,0,-2
459,459,0,SL Malinga,3.4,0,30,1,8.18,11,5,0,3,0,10,0,0,0,0,10
460,460,1,JJ Bumrah,3.0,0,23,0,7.66,7,4,0,0,0,0,0,0,0,0,0
461,461,2,Harbhajan Singh,4.0,0,22,2,5.5,10,2,0,1,0,20,0,0,1,0,21
462,462,3,PP Ojha,4.0,0,25,0,6.25,10,1,1,0,0,0,0,0,0,0,0
463,463,4,LMP Simmons,3.0,0,34,1,11.33,2,2,2,0,0,10,0,0,-3,0,7
464,464,5,KA Pollard,1.0,0,7,0,7.0,1,0,0,0,0,0,0,0,0,0,0
465,465,0,JP Duminy,3.0,0,25,1,8.33,3,1,1,2,0,10,0,0,0,0,10
466,466,1,R Shukla,4.0,0,44,0,11.0,11,6,2,0,1,0,0,0,-3,0,-3
467,467,2,S Kaul,3.0,0,34,0,11.33,5,1,3,0,0,0,0,0,-3,0,-3
468,468,3,S Nadeem,4.0,0,35,2,8.75,9,1,3,2,0,20,0,0,0,0,20
469,469,4,Imran Tahir,4.0,0,25,2,6.25,8,3,0,0,0,20,0,0,0,0,20
470,470,5,MK Tiwary,2.0,0,28,0,14.0,3,1,3,0,0,0,0,0,-3,0,-3
471,471,0,DS Kulkarni,4.0,1,24,1,6.0,12,1,1,2,0,10,0,0,0,4,14
472,472,1,BCJ Cutting,4.0,0,31,1,7.75,9,5,0,0,0,10,0,0,0,0,10
473,473,2,JP Faulkner,1.0,0,6,1,6.0,3,1,0,0,0,10,0,0,0,0,10
474,474,3,KK Cooper,3.0,0,19,1,6.33,9,3,0,1,0,10,0,0,0,0,10
475,475,4,PV Tambe,3.0,0,24,1,8.0,2,0,1,2,0,10,0,0,0,0,10
476,476,5,R Bhatia,3.0,0,18,2,6.0,7,0,1,1,0,20,0,0,0,0,20
477,477,6,STR Binny,2.0,0,14,1,7.0,4,2,0,0,0,10,0,0,0,0,10
478,478,0,M Muralitharan,4.0,0,29,1,7.25,10,2,1,2,0,10,0,0,0,0,10
479,479,1,MA Starc,4.0,0,23,0,5.75,10,2,0,0,0,0,0,0,1,0,1
480,480,2,VR Aaron,3.0,0,29,2,9.66,7,4,1,1,0,20,0,0,-1,0,19
481,481,3,AN Ahmed,4.0,0,18,1,4.5,8,0,0,0,0,10,0,0,2,0,12
482,482,4,YS Chahal,4.0,0,27,0,6.75,10,1,2,0,0,0,0,0,0,0,0
483,483,5,S Rana,1.0,0,9,0,9.0,1,1,0,0,0,0,0,0,-1,0,-1
484,484,0,MM Sharma,2.0,0,13,0,6.5,6,2,0,0,0,0,0,0,0,0,0
485,485,1,R Ashwin,4.0,1,16,2,4.0,18,0,2,0,0,20,0,0,2,4,26
486,486,2,S Badree,3.0,0,15,0,5.0,9,0,1,1,0,0,0,0,1,0,1
487,487,3,SK Raina,4.0,0,20,0,5.0,10,2,0,0,0,0,0,0,1,0,1
488,488,4,RA Jadeja,4.0,0,31,1,7.75,12,2,2,1,0,10,0,0,0,0,10
489,489,5,DJ Hussey,2.5,0,38,2,13.41,5,2,3,1,0,20,0,0,-3,0,17
490,490,0,M Morkel,4.0,0,39,0,9.75,8,6,0,3,0,0,0,0,-1,0,-1
491,491,1,UT Yadav,4.0,0,26,3,6.5,11,3,0,2,0,30,0,0,0,0,30
492,492,2,SP Narine,4.0,0,21,1,5.25,13,1,1,0,0,10,0,0,1,0,11
