,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
535,535,5.0,6.0,0.0,MA Starc,10.25,0.0,0.0,4.0,41.0,,0,1.0,1.0,10.0,0,0,-2,0.0,8.0
536,536,9.0,4.0,0.0,S Aravind,7.25,0.0,0.0,4.0,29.0,,1,1.0,0.0,10.0,0,0,0,0.0,10.0
537,537,9.0,4.0,2.0,D Wiese,9.5,0.0,0.0,4.0,38.0,,2,0.0,1.0,0.0,0,0,-1,0.0,-1.0
538,538,8.0,1.0,3.0,HV Patel,9.0,0.0,0.0,4.0,36.0,,3,2.0,1.0,20.0,0,0,-1,0.0,19.0
539,539,6.0,0.0,6.0,YS Chahal,12.75,0.0,0.0,4.0,51.0,,4,2.0,0.0,20.0,0,0,-3,0.0,17.0
540,540,12.0,2.0,0.0,CH Morris,4.75,0.0,0.0,4.0,19.0,,0,3.0,1.0,30.0,0,0,2,0.0,32.0
541,541,5.0,2.0,1.0,SR Watson,9.5,0.0,0.0,2.0,19.0,,1,0.0,1.0,0.0,0,0,-1,0.0,-1.0
542,542,10.0,3.0,0.0,Ankit Sharma,7.75,0.0,0.0,4.0,31.0,,2,1.0,1.0,10.0,0,0,0,0.0,10.0
543,543,8.0,1.0,2.0,PV Tambe,8.0,0.0,0.0,3.0,24.0,,3,0.0,0.0,0.0,0,0,0,0.0,0.0
544,544,7.0,5.0,1.0,JP Faulkner,10.0,0.0,0.0,4.0,40.0,,4,0.0,0.0,0.0,0,0,-2,0.0,-2.0
545,545,5.0,1.0,1.0,R Bhatia,7.66,0.0,0.0,3.0,23.0,,5,0.0,0.0,0.0,0,0,0,0.0,0.0
546,546,10.0,5.0,0.0,A Nehra,7.25,0.0,0.0,4.0,29.0,,0,0.0,0.0,0.0,0,0,0,0.0,0.0
547,547,11.0,1.0,0.0,MM Sharma,6.25,0.0,1.0,4.0,25.0,,1,3.0,1.0,30.0,0,0,0,0.0,30.0
548,548,5.0,4.0,0.0,P Negi,8.75,0.0,0.0,4.0,35.0,,2,0.0,1.0,0.0,0,0,0,0.0,0.0
549,549,13.0,0.0,0.0,RA Jadeja,2.75,0.0,0.0,4.0,11.0,,3,4.0,0.0,40.0,0,0,3,0.0,43.0
550,550,3.0,1.0,3.0,DJ Bravo,10.75,0.0,1.0,4.0,43.0,,4,2.0,0.0,20.0,0,0,-2,0.0,18.0
551,551,9.0,3.0,1.0,Sandeep Sharma,8.25,0.0,0.0,4.0,33.0,,0,0.0,0.0,0.0,0,0,0,0.0,0.0
552,552,10.0,4.0,2.0,Anureet Singh,9.25,0.0,0.0,4.0,37.0,,1,0.0,0.0,0.0,0,0,-1,0.0,-1.0
553,553,7.0,4.0,1.0,BE Hendricks,10.0,0.0,1.0,4.0,40.0,,2,2.0,2.0,20.0,0,0,-2,0.0,18.0
554,554,6.0,3.0,1.0,Gurkeerat Singh,9.0,0.0,0.0,3.0,27.0,,3,1.0,0.0,10.0,0,0,-1,0.0,9.0
555,555,7.0,2.0,2.0,GJ Maxwell,9.33,0.0,0.0,3.0,28.0,,4,1.0,1.0,10.0,0,0,-1,0.0,9.0
556,556,3.0,0.0,2.0,AR Patel,9.5,0.0,0.0,2.0,19.0,,5,0.0,0.0,0.0,0,0,-1,0.0,-1.0
557,557,10.0,2.0,2.0,B Kumar,8.5,0.0,0.0,4.0,34.0,,0,1.0,0.0,10.0,0,0,0,0.0,10.0
