POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
7,Dale  Steyn,12,12,45.3,299,14,134,21.35,6.57,19.5,0,0
8,Iqbal  Abdulla,15,15,50,305,16,131,19.06,6.1,18.75,0,0
9,Amit  Mishra,14,14,53.2,358,19,130,18.84,6.71,16.84,1,0
10,Rahul  Sharma,14,14,50,273,16,128,17.06,5.46,18.75,0,0
11,Harbhajan  Singh,15,15,53,370,14,127,26.42,6.98,22.71,0,1
12,Irfan  Pathan,14,13,45.5,344,11,124,31.27,7.5,25,0,0
13,Ishant  Sharma,12,12,44,314,11,121,28.54,7.13,24,0,1
14,Daniel  Vettori,13,13,51.4,311,12,119,25.91,6.01,25.83,0,0
15,Shane  Warne,13,12,47,297,13,117,22.84,6.31,21.69,0,0
16,Morne  Morkel,11,11,43,325,13,115,25,7.55,19.84,0,0
17,Sreenath  Arvind,13,13,46,368,21,115,17.52,8,13.14,1,0
18,Doug  Bollinger,13,13,47,329,17,114,19.35,7,16.58,0,0
19,Ryan  Harris,13,13,47,382,16,111,23.87,8.12,17.62,0,0
20,Dan  Christian,14,14,45.4,350,11,109,31.81,7.66,24.9,0,0
21,Brett  Lee,12,12,45.2,338,5,108,67.6,7.45,54.4,0,0
22,Vinay  Kumar,13,13,44.4,335,12,103,27.91,7.5,22.33,0,0
23,Albie  Morkel,15,14,45,382,15,102,25.46,8.48,18,0,0
24,Alfonso  Thomas,11,11,38.3,297,11,96,27,7.71,21,0,0
25,Shanthakumaran  Sreesanth,9,9,31.5,206,7,94,29.42,6.47,27.28,0,0
26,Yusuf  Pathan,15,14,39,238,13,93,18.3,6.1,18,0,0
27,Piyush  Chawla,12,12,41.2,336,16,93,21,8.12,15.5,1,0
28,Ravindra  Jadeja,14,14,42,305,8,90,38.12,7.26,31.5,0,0
29,Lakshmipathy  Balaji,14,14,44.2,371,10,89,37.1,8.36,26.6,0,0
30,Pragyan  Ojha,10,10,36.5,267,10,86,26.7,7.24,22.1,0,0
31,Johan  Botha,10,10,36,239,7,81,34.14,6.63,30.85,0,0
32,Chris  Gayle,12,12,36,244,8,80,30.5,6.77,27,0,0
33,Shadab  Jakati,15,14,44.1,336,10,80,33.6,7.6,26.5,0,0
34,Shane  Watson,11,10,36,241,6,78,40.16,6.69,36,0,0
35,Wayne  Parnell,8,8,29.2,213,9,75,23.66,7.26,19.55,0,0
36,Amit  Singh,9,9,28.3,215,9,75,23.88,7.54,19,0,0
37,Kieron  Pollard,16,16,42.3,361,10,73,36.1,8.49,25.5,0,0
38,Abhimanyu  Mithun,12,12,34,321,5,67,64.2,9.44,40.8,0,0
39,Siddharth  Trivedi,12,12,35.4,303,10,66,30.3,8.49,21.4,0,0
40,Suresh  Raina,16,12,27.3,201,4,62,50.25,7.3,41.25,0,0
41,Yuvraj  Singh,14,13,29,192,9,61,21.33,6.62,19.33,1,0
42,Suraj  Randiv,8,8,29,223,6,60,37.16,7.68,29,0,0
43,Shakib  Al Hasan,7,7,25.3,175,11,59,15.9,6.86,13.9,0,0
44,Ali  Murtaza,5,5,20,117,3,56,39,5.85,40,0,0
45,Rajat  Bhatia,14,12,32,210,8,56,26.25,6.56,24,0,0
46,Bhargav  Bhatt,10,8,27.5,229,9,55,25.44,8.22,18.55,1,0
47,Jacques  Kallis,15,9,24,170,7,54,24.28,7.08,20.57,0,0
48,James  Hopes,10,9,32,272,7,53,38.85,8.5,27.42,0,0
49,Shalabh  Srivastava,6,6,20,186,8,49,23.25,9.3,15,0,0
50,Muttiah  Muralitharan,5,5,19,141,2,46,70.5,7.42,57,0,0
51,Ajit  Agarkar,7,7,27,231,8,46,28.87,8.55,20.25,0,0
52,JP  Duminy,10,8,18,143,4,44,35.75,7.94,27,0,0
53,Shrikant  Wagh,7,7,16,121,4,43,30.25,7.56,24,0,0
54,Paul  Valthaty,14,9,24.1,189,7,43,27,7.82,20.71,1,0
55,Tim  Southee,5,5,19,166,4,43,41.5,8.73,28.5,0,0
56,Dhawal  Kulkarni,6,6,20,149,5,42,29.8,7.45,24,0,0
57,Shaun  Tait,4,4,14.5,127,6,42,21.16,8.56,14.83,0,0
58,P  Parameswaran,5,5,15.4,137,4,41,34.25,8.74,23.5,0,0
59,Ashok  Dinda,6,5,17,152,5,41,30.4,8.94,20.4,0,0
60,Dwayne  Bravo,6,6,20,157,6,40,26.16,7.85,20,0,0
61,Murali  Kartik,6,6,20.5,166,1,40,166,7.96,125,0,0
62,Jaydev  Unadkat,7,6,18,150,6,40,25,8.33,18,0,0
63,Shahbaz  Nadeem,5,5,19,142,4,37,35.5,7.47,28.5,0,0
64,Roelof  van der Merwe,4,4,14.5,92,5,36,18.4,6.2,17.8,0,0
65,Umesh  Yadav,7,6,18,169,2,36,84.5,9.38,54,0,0
66,Raiphi  Gomez,11,8,15,124,5,33,24.8,8.26,18,0,0
67,Varun  Aaron,4,3,12,82,2,31,41,6.83,36,0,0
68,Ashok  Menaria,13,9,15,121,2,30,60.5,8.06,45,0,0
69,Ryan  McLaren,6,6,18,178,5,30,35.6,9.88,21.6,0,0
70,Jesse  Ryder,13,7,15.2,118,4,29,29.5,7.69,23,0,0
71,Syed  Mohammad,5,5,15,127,5,29,25.4,8.46,18,0,0
72,JJ  van der Wath,3,3,12,129,3,29,43,10.75,24,0,0
73,Bhuvneshwar  Kumar,4,4,11,67,3,28,22.33,6.09,22,0,0
74,Brad  Hodge,14,4,11,77,7,28,11,7,9.42,1,0
75,Bipul  Sharma,4,4,12,78,4,27,19.5,6.5,18,0,0
76,Charl  Langeveldt,3,3,11,84,5,27,16.8,7.63,13.2,0,0
77,Mitchell  Marsh,5,5,14.1,99,7,25,14.14,6.98,12.14,1,0
78,Thisara  Perera,4,4,14,111,2,24,55.5,7.92,42,0,0
79,Virat  Kohli,16,10,17,139,2,23,69.5,8.17,51,0,0
80,Ramesh  Powar,5,5,12,112,2,22,56,9.33,36,0,0
81,Ankeet  Chavan,2,2,5,27,0,17,-,5.4,-,0,0
82,Harmeet  Singh Bansal,2,2,7,53,3,17,17.66,7.57,14,0,0
83,Aavishkar  Salvi,2,2,8,66,3,17,22,8.25,16,0,0
84,Manpreet  Gony,3,3,9,85,4,17,21.25,9.44,13.5,0,0
85,Tillakaratne  Dilshan,10,6,12,108,1,16,108,9,72,0,0
86,Mithun  Manhas,10,3,7,42,0,15,-,6,-,0,0
87,Abhishek  Nayar,10,6,10.1,95,2,15,47.5,9.34,30.5,0,0
88,Anand  Rajan,2,2,5,50,3,15,16.66,10,10,0,0
89,James  Franklin,8,6,10.1,99,3,14,33,9.73,20.33,0,0
90,Dirk  Nannes,2,2,4,31,2,11,15.5,7.75,12,0,0
91,Nathan  McCullum,2,2,5,34,0,10,-,6.8,-,0,0
92,Andrew  Symonds,11,3,4,41,1,10,41,10.25,24,0,0
93,Nayan  Doshi,3,3,5.2,62,1,10,62,11.62,32,0,0
94,Nathan  Rimmington,1,1,3,19,0,9,-,6.33,-,0,0
95,Abhishek  Raut,7,2,3,21,0,8,-,7,-,0,0
96,Sarabjit  Ladda,2,2,4,42,0,8,-,10.5,-,0,0
97,Ryan  Ninan,2,2,6,65,3,8,21.66,10.83,12,0,0
98,James  Faulkner,1,1,2,9,1,7,9,4.5,12,0,0
99,Rajagopal  Sathish,9,4,5.1,41,0,7,-,7.93,-,0,0
100,Tirumalasetti  Suman,8,3,6,50,0,7,-,8.33,-,0,0
1,Praveen  Kumar,16,16,63,434,9,168,48.22,6.88,42,0,0
2,Sunil  Narine,15,15,59.1,324,24,164,13.5,5.47,14.79,1,1
3,Morne  Morkel,16,16,63,453,25,154,18.12,7.19,15.12,1,0
4,Zaheer  Khan,16,15,60,453,17,146,26.64,7.55,21.17,0,0
5,Lasith  Malinga,14,14,55.3,350,22,145,15.9,6.3,15.13,1,0
6,Umesh  Yadav,17,17,61,453,19,145,23.84,7.42,19.26,0,0
7,Irfan  Pathan,17,17,60,465,8,145,58.12,7.75,45,0,0
8,Ravichandran  Ashwin,19,18,65.5,432,14,141,30.85,6.56,28.21,0,0
9,Dale  Steyn,12,12,46.4,285,18,138,15.83,6.1,15.55,0,0
10,Piyush  Chawla,16,16,57,419,16,124,26.18,7.35,21.37,0,0
11,Munaf  Patel,12,12,46.4,367,15,123,24.46,7.86,18.66,2,0
12,Vinay  Kumar,15,14,55.5,480,19,123,25.26,8.59,17.63,0,0
13,Albie  Morkel,16,15,49.3,385,13,118,29.61,7.77,22.84,0,0
14,Harbhajan  Singh,17,16,54,384,6,117,64,7.11,54,0,0
15,Jacques  Kallis,17,16,54,403,15,112,26.86,7.46,21.6,0,0
16,Parvinder  Awana,12,12,47,372,17,112,21.88,7.91,16.58,1,0
17,Dwayne  Bravo,19,18,57.4,461,15,110,30.73,7.99,23.06,0,0
18,Ben  Hilfenhaus,9,9,34,233,14,103,16.64,6.85,14.57,0,0
19,RP  Singh,11,11,41,318,10,103,31.8,7.75,24.6,0,0
20,Brett  Lee,10,10,38,299,7,99,42.71,7.86,32.57,0,0
21,Ashish  Nehra,13,13,48,402,11,99,36.54,8.37,26.18,0,0
22,Azhar  Mahmood,11,11,42.4,329,14,95,23.5,7.71,18.28,0,0
23,Siddharth  Trivedi,14,14,52,380,13,90,29.23,7.3,24,1,0
24,Amit  Mishra,14,14,47,377,13,89,29,8.02,21.69,0,0
25,Shahbaz  Nadeem,12,12,45,318,8,88,39.75,7.06,33.75,0,0
26,Johan  Botha,11,11,41,297,9,87,33,7.24,27.33,0,0
27,Bhuvneshwar  Kumar,11,11,39,281,8,86,35.12,7.2,29.25,0,0
28,Kieron  Pollard,14,14,43.5,350,16,85,21.87,7.98,16.43,1,0
29,Lakshmipathy  Balaji,8,8,29.5,163,11,82,14.81,5.46,16.27,1,0
30,Muttiah  Muralitharan,10,10,40,260,15,82,17.33,6.5,16,0,0
31,Rajat  Bhatia,17,16,53.1,389,13,82,29.92,7.31,24.53,0,0
32,Harshal  Patel,12,11,41,340,9,78,37.77,8.29,27.33,0,0
33,Murali  Kartik,11,11,36,266,4,76,66.5,7.38,54,0,0
34,Shadab  Jakati,15,15,41,335,9,76,37.22,8.17,27.33,0,0
35,Brad  Hogg,9,9,36,253,10,73,25.3,7.02,21.6,0,0
36,Varun  Aaron,8,8,31,271,8,73,33.87,8.74,23.25,0,0
37,Rahul  Sharma,11,11,37,300,9,72,33.33,8.1,24.66,0,0
38,Veer  Pratap Singh,9,9,34,296,10,71,29.6,8.7,20.4,0,0
39,Shakib  Al Hasan,8,8,30,195,12,68,16.25,6.5,15,0,0
40,Daniel  Vettori,9,9,35,236,5,66,47.2,6.74,42,0,0
41,Pragyan  Ojha,9,9,30,220,9,66,24.44,7.33,20,0,0
42,Marlon  Samuels,8,8,28.4,216,8,66,27,7.53,21.5,0,0
43,Shaun  Tait,6,6,22.5,151,6,65,25.16,6.61,22.83,0,0
44,Ravindra  Jadeja,19,14,35,273,12,65,22.75,7.8,17.5,0,1
45,Ankit  Sharma,9,9,24.1,165,4,62,41.25,6.82,36.25,0,0
46,Shane  Watson,7,7,23,161,6,62,26.83,7,23,0,0
47,Ashok  Dinda,7,7,24,169,9,61,18.77,7.04,16,1,0
48,Manpreet  Gony,6,6,24,207,3,58,69,8.62,48,0,0
49,Amit  Singh,9,9,32.5,310,10,58,31,9.44,19.7,0,0
50,Pankaj  Singh,6,6,21,170,7,57,24.28,8.09,18,0,0
51,Ankeet  Chavan,8,8,27.2,236,7,55,33.71,8.63,23.42,0,0
52,Kevon  Cooper,6,6,24,174,10,52,17.4,7.25,14.4,1,0
53,Ashish  Reddy,9,8,24.1,205,10,52,20.5,8.48,14.5,0,0
54,Wayne  Parnell,6,6,21,128,5,51,25.6,6.09,25.2,0,0
55,Dan  Christian,7,7,27,233,8,51,29.12,8.62,20.25,0,0
56,Angelo  Mathews,9,9,26,192,7,50,27.42,7.38,22.28,0,0
57,Pawan  Negi,8,6,22,152,7,49,21.71,6.9,18.85,1,0
58,Ryan  Harris,5,5,18,130,8,48,16.25,7.22,13.5,1,0
59,Yusuf  Pathan,17,12,22.1,181,4,47,45.25,8.16,33.25,0,0
60,Iqbal  Abdulla,9,8,22,144,4,46,36,6.54,33,0,0
61,Doug  Bollinger,6,6,18,157,8,46,19.62,8.72,13.5,0,0
62,Ajit  Chandila,4,4,14,86,5,39,17.2,6.14,16.8,1,0
63,Nuwan  Kulasekara,5,4,14,94,4,38,23.5,6.71,21,0,0
64,Dimitri  Mascarenhas,4,4,16,105,7,35,15,6.56,13.71,0,1
65,KP  Appanna,7,6,17,148,6,35,24.66,8.7,17,1,0
66,Harmeet  Singh Bansal,7,6,19.2,168,6,33,28,8.68,19.33,0,0
67,Alfonso  Thomas,4,4,14,109,3,30,36.33,7.78,28,0,0
68,Dwayne  Smith,7,6,13,95,2,28,47.5,7.3,39,0,0
69,Andre  Russell,4,4,16,161,1,28,161,10.06,96,0,0
70,Roelof  van der Merwe,3,3,10,60,2,26,30,6,30,0,0
71,Bhargav  Bhatt,5,5,16.3,136,2,26,68,8.24,49.5,0,0
72,James  Franklin,12,9,15,121,6,25,20.16,8.06,15,0,0
73,Dhawal  Kulkarni,2,2,8,64,6,23,10.66,8,8,0,0
74,Michael  Clarke,6,5,11,67,2,22,33.5,6.09,33,0,0
75,JP  Duminy,9,6,12,104,1,22,104,8.66,72,0,0
76,Suresh  Raina,19,7,14,105,2,21,52.5,7.5,42,0,0
77,Robin  Peterson,5,4,8,70,3,21,23.33,8.75,16,0,0
78,Ajit  Agarkar,4,4,14.2,134,3,20,44.66,9.34,28.66,0,0
79,Andrew  McDonald,4,3,10,61,5,18,12.2,6.1,12,0,0
80,Juan  Theron,2,2,8,66,2,18,33,8.25,24,0,0
81,Yo  Mahesh,5,4,9.2,81,3,18,27,8.67,18.66,0,0
82,Anand  Rajan,4,4,11.5,109,3,18,36.33,9.21,23.66,0,0
83,TP  Sudhindra,3,3,11.4,136,1,18,136,11.65,70,0,0
84,Marchant  de Lange,3,3,10,107,3,17,35.66,10.7,20,0,0
85,Stuart  Binny,8,6,10,78,3,15,26,7.8,20,0,0
86,Abhishek  Jhunjhunwala,5,3,6,38,1,14,38,6.33,36,0,0
87,David  Hussey,16,6,9,63,3,14,21,7,18,0,0
88,Clint  McKay,2,2,7,60,1,14,60,8.57,42,0,0
89,James  Faulkner,2,2,8,72,3,14,24,9,16,0,0
90,Bipul  Sharma,5,3,7.4,79,0,13,-,10.3,-,0,0
91,Shikhar  Dhawan,15,4,6,55,3,12,18.33,9.16,12,0,0
92,Ashok  Menaria,15,3,3.2,23,1,10,23,6.9,20,0,0
93,Doug  Bracewell,1,1,4,32,3,10,10.66,8,8,0,0
94,Krishnakant  Upadhyay,1,1,4,33,0,10,-,8.25,-,0,0
95,Kevin  Pietersen,8,3,6,53,0,10,-,8.83,-,0,0
96,Sourav  Ganguly,15,4,10,95,2,10,47.5,9.5,30,0,0
97,Jesse  Ryder,11,4,7,70,1,10,70,10,42,0,0
98,Tillakaratne  Dilshan,10,5,7,77,0,9,-,11,-,0,0
99,Syed  Mohammad,2,2,7,65,0,8,-,9.28,-,0,0
100,Mandeep  Singh,16,1,3,23,1,7,23,7.66,18,0,0
1,Dale  Steyn,17,17,67.5,384,19,211,20.21,5.66,21.42,0,0
2,Mitchell  Johnson,17,17,64,459,24,188,19.12,7.17,16,0,0
3,Sunil  Narine,16,16,64,350,22,180,15.9,5.46,17.45,2,0
