POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
100,Kieron  Pollard,13,4,6,81,0,4,-,13.5,-,0,0
1,Sunil  Narine,16,15,59,412,10,133,41.2,6.98,35.4,0,0
2,Jasprit  Bumrah,16,17,60.2,444,20,124,22.2,7.35,18.1,0,0
3,Rashid  Khan,14,14,54,358,17,121,21.05,6.62,19.05,0,0
4,Jaydev  Unadkat,12,12,45.5,322,24,119,13.41,7.02,11.45,0,1
5,Mitchell  McClenaghan,14,14,54,507,19,119,26.68,9.38,17.05,0,0
6,Bhuvneshwar  Kumar,14,14,52.2,369,26,117,14.19,7.05,12.07,0,1
7,Umesh  Yadav,14,14,48.3,410,17,117,24.11,8.45,17.11,1,0
8,Sandeep  Sharma,13,13,48,398,17,115,23.41,8.29,16.94,1,0
9,Ben  Stokes,12,12,44,316,12,108,26.33,7.18,22,0,0
10,Harbhajan  Singh,11,11,41,266,8,96,33.25,6.48,30.75,0,0
11,Imran  Tahir,12,12,47,369,18,94,20.5,7.85,15.66,0,0
12,Yuzvendra  Chahal,13,13,43.3,333,14,92,23.78,7.65,18.64,0,0
13,Lasith  Malinga,12,12,44.5,382,11,90,34.72,8.52,24.45,0,0
14,Chris  Woakes,13,13,44,386,17,87,22.7,8.77,15.52,0,0
15,Mohit  Sharma,14,14,45.4,410,13,87,31.53,8.97,21.07,0,0
16,Shardul  Thakur,12,12,38.1,315,11,85,28.63,8.25,20.81,0,0
17,Pat  Cummins,12,12,46.1,373,15,84,24.86,8.07,18.46,0,0
18,Axar  Patel,14,14,48,362,15,82,24.13,7.54,19.2,0,0
19,Washington  Sundar,11,10,30,185,8,81,23.12,6.16,22.5,0,0
20,Pawan  Negi,12,12,32.1,197,16,80,12.31,6.12,12.06,0,0
21,Amit  Mishra,14,14,38.5,343,10,78,34.3,8.83,23.3,0,0
22,Basil  Thampi,12,12,44.4,424,11,76,38.54,9.49,24.36,0,0
23,Karn  Sharma,9,9,30.4,214,13,75,16.46,6.97,14.15,1,0
24,Dan  Christian,13,13,40,298,11,74,27.09,7.45,21.81,0,0
25,Kuldeep  Yadav,12,11,41,340,12,74,28.33,8.29,20.5,0,0
26,Krunal  Pandya,13,13,40,273,10,73,27.3,6.82,24,0,0
27,Zaheer  Khan,11,11,40.1,313,10,72,31.3,7.79,24.1,0,0
28,Chris  Morris,9,9,31,240,12,71,20,7.74,15.5,1,0
29,Nathan  Coulter-Nile,8,8,28.2,228,15,70,15.2,8.04,11.33,0,0
30,Siddarth  Kaul,10,10,35.4,300,16,65,18.75,8.41,13.37,1,0
31,Samuel  Badree,7,7,25,188,9,62,20.88,7.52,16.66,1,0
32,Sreenath  Arvind,10,10,30.3,275,5,58,55,9.01,36.6,0,0
33,Ravindra  Jadeja,12,12,38,349,5,57,69.8,9.18,45.6,0,0
34,Mitchell  Johnson,5,5,20,141,7,55,20.14,7.05,17.14,0,0
35,Mohammed  Shami,8,8,26,243,5,55,48.6,9.34,31.2,0,0
36,Trent  Boult,6,6,23.5,216,5,53,43.2,9.06,28.6,0,0
37,Varun  Aaron,6,6,20,163,7,51,23.28,8.15,17.14,0,0
38,Kagiso  Rabada,6,6,21.2,188,6,48,31.33,8.81,21.33,0,0
39,Mohammed  Siraj,6,6,23,212,10,48,21.2,9.21,13.8,1,0
40,Shahbaz  Nadeem,7,7,17.5,119,6,47,19.83,6.67,17.83,0,0
41,Shane  Watson,8,8,26.5,245,5,47,49,9.13,32.2,0,0
42,Ashish  Nehra,6,6,21.1,197,8,47,24.62,9.3,15.87,0,0
43,Hardik  Pandya,17,13,26,213,6,45,35.5,8.19,26,0,0
44,Andrew  Tye,6,6,21,141,12,44,11.75,6.71,10.5,0,1
45,Pradeep  Sangwan,5,5,18,181,5,44,36.2,10.05,21.6,0,0
46,Aniket  Choudhary,5,5,16.5,144,5,42,28.8,8.55,20.2,0,0
47,Tymal  Mills,5,5,17.5,153,5,41,30.6,8.57,21.4,0,0
48,Lockie  Ferguson,4,4,13,93,3,40,31,7.15,26,0,0
49,Praveen  Kumar,6,6,16.3,151,6,40,25.16,9.15,16.5,0,0
50,Glenn  Maxwell,14,8,19,125,7,38,17.85,6.57,16.28,0,0
51,Adam  Zampa,6,6,19.5,163,7,38,23.28,8.21,17,0,0
52,Ankit  Soni,7,6,18.1,144,2,37,72,7.92,54.5,0,0
53,Piyush  Chawla,6,6,20,179,6,36,29.83,8.95,20,0,0
54,Dhawal  Kulkarni,6,6,18.5,173,3,35,57.66,9.18,37.66,0,0
55,Mohammad  Nabi,3,3,11,58,2,34,29,5.27,33,0,0
56,James  Faulkner,8,8,26.2,258,6,34,43,9.79,26.33,0,0
57,Colin  de Grandhomme,12,9,16,135,4,33,33.75,8.43,24,0,0
58,Ishant  Sharma,6,6,18,179,0,32,-,9.94,-,0,0
59,Bipul  Sharma,7,7,16.2,129,3,28,43,7.89,32.66,0,0
60,Ankit  Rajpoot,5,5,14,107,4,27,26.75,7.64,21,0,0
61,Moises  Henriques,12,12,24,248,1,27,248,10.33,144,0,0
62,Adam  Milne,4,4,14,134,3,25,44.66,9.57,28,0,0
63,T  Natarajan,6,6,12.4,115,2,24,57.5,9.07,38,0,0
64,Rahul  Tewatia,3,3,9,49,3,23,16.33,5.44,18,0,0
65,KC  Cariappa,4,4,15,127,4,22,31.75,8.46,22.5,0,0
66,Tim  Southee,3,3,10,96,3,21,32,9.6,20,0,0
67,Ashok  Dinda,3,3,10,119,1,21,119,11.9,60,0,0
68,Suresh  Raina,14,6,12,102,1,20,102,8.5,72,0,0
69,Ben  Cutting,4,4,12.4,123,1,20,123,9.71,76,0,0
70,Corey  Anderson,11,8,18.5,186,3,20,62,9.87,37.66,0,0
71,Billy  Stanlake,2,2,8,70,2,17,35,8.75,24,0,0
72,Dwayne  Smith,12,9,13,148,2,17,74,11.38,39,0,0
73,Rahul  Chahar,3,2,7,58,2,16,29,8.28,21,0,0
74,Nathu  Singh,2,2,4,15,1,13,15,3.75,24,0,0
75,Jayant  Yadav,2,2,6,42,0,13,-,7,-,0,0
76,Deepak  Chahar,3,3,7,74,1,12,74,10.57,42,0,0
77,Avesh  Khan,1,1,4,23,1,11,23,5.75,24,0,0
78,Munaf  Patel,2,2,7,57,1,10,57,8.14,42,0,0
79,Marcus  Stoinis,5,5,10.3,110,2,10,55,10.47,31.5,0,0
80,Rajat  Bhatia,3,3,7,55,2,9,27.5,7.85,21,0,0
81,Stuart  Binny,8,4,6,50,4,9,12.5,8.33,9,0,0
82,Yusuf  Pathan,15,4,4,41,1,8,41,10.25,24,0,0
83,Harshal  Patel,1,1,4,43,3,8,14.33,10.75,8,0,0
84,Swapnil  Singh,4,4,7,61,1,7,61,8.71,42,0,0
85,Travis  Head,7,5,8,81,2,7,40.5,10.12,24,0,0
86,Deepak  Hooda,10,3,4,42,2,7,21,10.5,12,0,0
87,Shubham  Agarwal,1,1,4,42,1,7,42,10.5,24,0,0
88,Matt  Henry,2,2,5,71,1,7,71,14.2,30,0,0
89,Tejas  Baroka,1,1,3.3,33,0,6,-,9.42,-,0,0
90,Vinay  Kumar,1,1,3,31,2,6,15.5,10.33,9,0,0
91,Iqbal  Abdulla,2,2,5,55,2,6,27.5,11,15,0,0
92,Carlos  Brathwaite,2,2,6,67,1,6,67,11.16,36,0,0
93,Shakib  Al Hasan,1,1,3,31,0,5,-,10.33,-,0,0
94,Marlon  Samuels,5,2,3,34,0,5,-,11.33,-,0,0
95,Shadab  Jakati,2,2,5,52,0,4,-,10.4,-,0,0
96,Irfan  Pathan,1,1,2,26,0,4,-,13,-,0,0
97,Barinder  Sran,1,1,2,29,0,4,-,14.5,-,0,0
98,Manpreet  Gony,1,1,2,32,0,4,-,16,-,0,0
99,Angelo  Mathews,3,2,5,56,0,3,-,11.2,-,0,0
100,Mustafizur  Rahman,1,1,2.4,34,0,3,-,12.75,-,0,0
