POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
58,Moises  Henriques,4,3,1,38,30,19,40,95,0,0,2,1
59,Sanath  Jayasuriya,12,12,0,221,52,18.41,192,115.1,0,2,23,7
60,Pinal  Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2
61,Sourav  Ganguly,13,11,0,189,46,17.18,207,91.3,0,0,13,6
62,Daniel  Vettori,7,4,2,34,29,17,32,106.25,0,0,3,0
63,Azhar  Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,5,0
64,Laxmi  Ratan Shukla,9,6,1,83,48,16.6,85,97.64,0,0,5,3
65,Simon  Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6
66,Anil  Kumble,16,7,6,16,7,16,19,84.21,0,0,2,0
67,Angelo  Mathews,1,1,0,16,16,16,13,123.07,0,0,2,0
68,Robin  Uthappa,15,13,2,175,66,15.9,170,102.94,0,1,18,3
69,Parthiv  Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2
70,K  Goel,9,9,1,124,38,15.5,133,93.23,0,0,9,4
71,Kevin  Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,8,2
72,Roelof  van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
73,Murali  Vijay,4,4,0,60,31,15,67,89.55,0,0,4,2
74,GR  Napier,1,1,0,15,15,15,16,93.75,0,0,1,0
75,Rob  Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
76,Jacob  Oram,11,8,2,88,41,14.66,93,94.62,0,0,5,4
77,Sunny  Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8
78,Brett  Lee,5,4,2,28,14,14,34,82.35,0,0,2,1
79,Scott  Styris,2,1,0,14,14,14,8,175,0,0,0,1
80,Shane  Warne,13,11,3,108,34,13.5,116,93.1,0,0,6,4
81,Praveen  Kumar,13,8,3,65,14,13,46,141.3,0,0,1,6
82,Saurabh  Tiwary,4,3,2,13,6,13,12,108.33,0,0,0,0
83,SA  Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4
84,RR  Raje,4,2,1,12,11,12,9,133.33,0,0,0,1
85,Yashpal  Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
86,Venugopal  Rao,16,13,2,124,32,11.27,114,108.77,0,0,6,3
87,Jesse  Ryder,5,5,0,56,32,11.2,49,114.28,0,0,9,0
88,Munaf  Patel,11,5,2,33,23,11,26,126.92,0,0,5,0
89,Aakash  Chopra,2,1,0,11,11,11,19,57.89,0,0,2,0
90,Harbhajan  Singh,13,10,2,84,20,10.5,53,158.49,0,0,6,5
91,Luke  Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1
92,Shikhar  Dhawan,5,4,0,40,22,10,45,88.88,0,0,3,0
