,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
296,0,CH Gayle,4.0,0,38,1,9.5,6,3,2,0,0
297,1,CK Langeveldt,3.0,0,35,2,11.66,6,4,2,1,0
298,2,I Sharma,1.0,0,17,1,17.0,2,2,1,2,0
299,3,DJ Hussey,4.0,0,24,0,6.0,6,1,0,0,0
300,4,AD Mathews,2.0,0,11,0,5.5,4,1,0,0,0
301,5,M Kartik,4.0,0,26,0,6.5,7,1,1,0,0
302,6,AB Agarkar,2.0,0,26,0,13.0,3,3,1,0,1
303,0,DP Nannes,3.1,0,15,1,4.73,12,2,0,1,0
304,1,AB McDonald,4.0,0,37,2,9.25,7,3,2,1,0
305,2,A Mishra,4.0,0,18,1,4.5,11,0,1,0,0
306,3,R Bhatia,4.0,0,28,1,7.0,8,3,0,1,0
307,4,UT Yadav,4.0,0,27,2,6.75,10,3,0,2,1
308,5,PD Collingwood,0.5,0,7,1,8.4,1,0,0,0,0
309,0,R McLaren,3.0,0,29,0,9.66,7,5,0,0,1
310,1,Z Khan,4.0,0,34,3,8.5,8,4,0,1,0
311,2,SL Malinga,4.0,0,22,4,5.5,12,2,0,2,0
312,3,Harbhajan Singh,4.0,0,26,0,6.5,7,0,0,1,0
313,4,KA Pollard,2.0,0,20,0,10.0,0,0,1,2,0
314,5,DJ Bravo,3.0,0,22,1,7.33,6,3,0,0,0
315,0,B Lee,2.3,0,24,0,9.6,5,2,0,2,0
316,1,SJ Srivastava,4.0,0,27,1,6.75,13,2,1,3,0
317,2,IK Pathan,3.0,0,20,1,6.66,6,2,0,1,0
318,3,VS Malik,2.0,0,21,0,10.5,2,3,0,0,0
319,4,PP Chawla,3.0,0,32,1,10.66,7,2,2,1,0
320,5,K Goel,1.0,0,7,0,7.0,1,0,0,0,0
321,6,RS Bopara,4.0,0,31,3,7.75,8,3,1,0,0
