,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
142,3,R Tewatia,3,0,18,3,6,10,0,2,0,0
143,4,Mohammed Shami,4,0,53,1,13.25,5,0,6,1,0
144,5,V Shankar,1,0,12,0,12,2,1,1,0,0
145,0,PP Chawla,2,0,16,1,8,5,1,1,1,0
146,1,AD Russell,2,0,25,1,12.5,5,5,0,3,0
147,2,Shivam Mavi,2,0,14,1,7,6,2,0,1,0
148,3,SP Narine,3,0,18,3,6,6,2,0,0,0
149,4,TK Curran,2,0,21,1,10.5,4,1,2,0,0
150,5,Kuldeep Yadav,3.2,0,32,3,9.6,6,2,2,0,0
151,0,UT Yadav,4,0,36,2,9,10,3,2,1,0
152,1,CR Woakes,3,0,31,1,10.33,9,2,3,1,0
153,2,Washington Sundar,2,0,32,0,16,2,4,1,1,0
154,3,Mohammed Siraj,4,0,34,0,8.5,11,1,2,2,0
155,4,YS Chahal,3,0,32,0,10.66,7,0,4,0,0
156,5,CJ Anderson,4,0,47,2,11.75,10,8,1,2,0
157,0,JJ Bumrah,4,0,28,2,7,12,3,1,1,0
158,1,KH Pandya,4,0,28,3,7,9,3,0,1,0
159,2,MJ McClenaghan,3,0,24,2,8,4,1,1,0,0
160,3,Mustafizur Rahman,4,0,55,0,13.75,3,4,4,0,1
161,4,M Markande,4,0,25,1,6.25,9,1,1,1,0
162,5,HH Pandya,1,0,4,0,4,2,0,0,0,0
163,0,PP Chawla,4,0,18,1,4.5,10,1,0,0,0
164,1,Kuldeep Yadav,4,0,23,1,5.75,9,1,1,0,0
165,2,SP Narine,4,0,48,0,12,6,7,1,0,0
166,3,Shivam Mavi,4,0,40,1,10,9,3,2,3,0
167,4,N Rana,2,0,11,2,5.5,4,1,0,0,0
168,5,TK Curran,2,0,19,2,9.5,3,2,0,0,1
169,0,K Gowtham,4,0,23,2,5.75,12,3,0,0,0
170,1,DS Kulkarni,2,0,20,0,10,5,4,0,0,0
171,2,JD Unadkat,3,0,34,0,11.33,4,3,2,0,0
172,3,B Laughlin,3.5,0,37,0,9.65,5,2,2,1,0
173,4,S Gopal,3,0,23,0,7.66,7,0,2,0,0
174,5,BA Stokes,3,0,25,0,8.33,4,3,0,1,0
175,0,B Kumar,4,0,25,1,6.25,10,1,1,1,0
176,1,CJ Jordan,4,0,31,0,7.75,11,2,2,1,0
177,2,Rashid Khan,4,0,55,1,13.75,8,1,7,0,0
178,3,S Kaul,4,0,33,1,8.25,4,4,0,0,0
179,4,DJ Hooda,2,0,16,0,8,5,1,1,1,0
180,5,Shakib Al Hasan,2,0,28,0,14,2,1,3,0,0
181,0,BB Sran,4,0,22,0,5.5,11,1,0,3,1
182,1,MM Sharma,4,0,51,2,12.75,4,6,1,1,0
183,2,AJ Tye,4,0,23,2,5.75,10,2,0,0,0
184,3,R Ashwin,4,0,53,0,13.25,1,1,4,4,0
185,4,Mujeeb Ur Rahman,4,0,27,0,6.75,5,1,0,1,0
186,0,STR Binny,2,0,33,0,16.5,2,7,0,1,1
187,1,K Gowtham,3,0,35,0,11.66,3,1,3,0,0
