,0s,4s,6s,Bowling,Econ,M,NB,O,Pune Warriors Team,R,Unnamed: 0,W,WD
862,4.0,2.0,0.0,L Balaji,8.0,0.0,0.0,2.0,,16.0,6,0.0,0.0
863,5.0,3.0,3.0,AN Ahmed,14.0,0.0,1.0,4.0,,56.0,0,1.0,5.0
864,9.0,3.0,3.0,Harbhajan Singh,10.0,0.0,0.0,4.0,,40.0,1,0.0,1.0
865,9.0,2.0,0.0,SL Malinga,6.0,0.0,0.0,4.0,,24.0,2,0.0,0.0
866,7.0,3.0,0.0,MM Patel,6.75,0.0,0.0,4.0,,27.0,3,2.0,0.0
867,1.0,1.0,1.0,RG Sharma,14.0,0.0,0.0,1.0,,14.0,4,0.0,0.0
868,5.0,1.0,1.0,KA Pollard,8.0,0.0,0.0,3.0,,24.0,5,1.0,2.0
869,9.0,3.0,1.0,Z Khan,8.0,0.0,0.0,4.0,,32.0,0,1.0,1.0
870,8.0,5.0,0.0,S Aravind,9.0,0.0,0.0,3.0,,27.0,1,2.0,1.0
871,10.0,1.0,0.0,CH Gayle,3.66,0.0,0.0,3.0,,11.0,2,0.0,0.0
872,3.0,2.0,2.0,A Mithun,13.0,0.0,0.0,2.0,,26.0,3,0.0,0.0
873,9.0,1.0,0.0,DL Vettori,4.75,0.0,0.0,4.0,,19.0,4,3.0,0.0
874,10.0,1.0,1.0,J Syed Mohammad,6.25,0.0,0.0,4.0,,25.0,5,2.0,0.0
875,7.0,1.0,1.0,Z Khan,7.5,0.0,0.0,4.0,,30.0,0,0.0,0.0
876,5.0,0.0,4.0,S Aravind,13.0,0.0,0.0,3.0,,39.0,1,2.0,2.0
877,11.0,0.0,4.0,CH Gayle,8.5,0.0,0.0,4.0,,34.0,2,2.0,0.0
878,3.0,1.0,3.0,J Syed Mohammad,13.0,0.0,0.0,3.0,,39.0,3,1.0,0.0
879,5.0,2.0,1.0,DL Vettori,8.5,0.0,0.0,4.0,,34.0,4,0.0,0.0
880,2.0,3.0,0.0,A Mithun,11.0,0.0,0.0,2.0,,22.0,5,0.0,0.0
881,11.0,1.0,0.0,R Ashwin,4.0,0.0,0.0,4.0,,16.0,0,3.0,0.0
882,5.0,2.0,0.0,JA Morkel,8.0,0.0,0.0,3.0,,24.0,1,0.0,0.0
883,5.0,4.0,0.0,DE Bollinger,9.33,0.0,0.0,3.0,,28.0,2,1.0,1.0
884,9.0,1.0,0.0,SB Jakati,5.25,0.0,1.0,4.0,,21.0,3,2.0,0.0
885,11.0,3.0,3.0,SK Raina,9.75,0.0,0.0,4.0,,39.0,4,1.0,0.0
886,4.0,0.0,1.0,DJ Bravo,7.5,0.0,0.0,2.0,,15.0,5,1.0,0.0
